TF	target	importance
g1	g3	0.5305135145868766
g3	g1	0.449267337747609
g1	g2	0.4326623505419399
g1	g4	0.2135804733989855
g4	g6	0.20998739600617725
g2	g3	0.19216690207208417
g1	g5	0.19029114073859082
g4	g5	0.18490962629656837
g6	g4	0.16689523128537842
g5	g4	0.16684580383204864
g1	g6	0.1629046856358324
g4	g1	0.16095922227400072
g2	g5	0.14548238804025265
g2	g1	0.13481020572953265
g2	g6	0.13334303456036645
g2	g4	0.12800585867653622
g3	g11	0.12397353828172232
g4	g7	0.12256373251434224
g3	g10	0.12032651520302223
g1	g11	0.1202779284550904
g3	g2	0.1202000029757558
g4	g2	0.11558287593375836
g1	g9	0.11489437062903682
g3	g8	0.11298896759152094
g3	g7	0.11130110005699426
g3	g9	0.11090724082719784
g1	g10	0.10955731064813852
g1	g8	0.10727982255836493
g5	g10	0.10705701743322792
g10	g8	0.10575964877376784
g11	g8	0.10550391541750664
g4	g11	0.10501607037548784
g5	g7	0.10496667089852378
g8	g9	0.1029103785476521
g1	g7	0.10242791997558595
g11	g10	0.10164197017526083
g4	g10	0.10132275808071707
g2	g8	0.1007935718935844
g2	g11	0.10044804726008394
g7	g8	0.10036846235349325
g8	g7	0.10032607249322477
g5	g9	0.09996900315462279
g3	g5	0.09958483297227519
g6	g5	0.09954202635884321
g7	g9	0.09927855723826376
g4	g9	0.09922079316688714
g9	g8	0.09911090675431314
g6	g9	0.09790844766679482
g3	g6	0.09764141119917304
g3	g4	0.09701704216151422
g7	g10	0.09589778745001488
g5	g11	0.09514838022673604
g2	g9	0.09470554236602963
g10	g11	0.09404232578788398
g2	g7	0.09400501462133518
g8	g10	0.09395146981837665
g8	g11	0.09359740086471467
g10	g7	0.09285083643878267
g2	g10	0.09214523918824177
g6	g7	0.09199674951124419
g11	g9	0.0919139648506643
g4	g8	0.0914950463139974
g5	g8	0.09127897339553638
g9	g11	0.09116822235629561
g9	g7	0.08985709316804288
g11	g7	0.08970481032192419
g5	g6	0.08944665959860543
g9	g10	0.08944140623908885
g6	g10	0.0886585257639113
g7	g11	0.08851435764725528
g10	g9	0.08829170155285085
g5	g1	0.08824529020366029
g6	g11	0.08781372874472997
g6	g8	0.0854206849479151
g5	g2	0.07763557621019321
g6	g1	0.07143135863058361
g6	g2	0.06758222959853183
g9	g6	0.06713765792038878
g7	g6	0.06540870714670238
g9	g5	0.06268402316344739
g11	g6	0.060349973578674776
g10	g6	0.06027844640918037
g7	g5	0.058977891623554525
g11	g4	0.05477337088028703
g8	g6	0.05350202794489915
g11	g5	0.05332037470584904
g10	g5	0.052993113683158
g7	g4	0.052267967508931375
g8	g5	0.0522145824174607
g4	g3	0.04715726743845502
g10	g2	0.04529107106854937
g10	g4	0.042589563102077996
g9	g4	0.04177845376004123
g8	g2	0.04163522038924889
g11	g3	0.039711819648717527
g8	g3	0.03683194584797866
g8	g4	0.03624623539419927
g11	g2	0.03543660675897353
g10	g3	0.03335670794310888
g9	g2	0.03204285005212445
g7	g3	0.031996979974678326
g7	g2	0.03193121647092449
g5	g3	0.0316106056197083
g9	g3	0.031403857447382125
g6	g3	0.025250399421010546
g11	g1	0.02360959912687946
g9	g1	0.021409989735790218
g7	g1	0.017065925954331082
g8	g1	0.016877623811913385
g10	g1	0.016323446785699684
