Gene1	Gene2	EdgeWeight
x_g4	x_g5	120
x_g6	x_g7	119
x_g1	x_g4	118
x_g1	x_g5	117
x_g3	x_g5	116
x_g1	x_g3	115
x_g3	x_g3	114
x_g9	x_g5	113
x_g7	x_g3	112
x_g4	x_g6	111
x_g2	x_g3	110
x_g5	x_g10	109
x_g10	x_g7	108
x_g8	x_g8	107
x_g7	x_g7	106
x_g10	x_g4	105
x_g2	x_g5	104
x_g2	x_g6	103
x_g7	x_g11	102
x_g2	x_g4	101
x_g11	x_g7	100
x_g9	x_g4	99
x_g4	x_g7	98
x_g1	x_g7	97
x_g10	x_g3	96
x_g11	x_g5	95
x_g5	x_g7	94
x_g4	x_g3	93
x_g9	x_g7	92
x_g8	x_g7	91
x_g1	x_g6	90
x_g10	x_g6	89
x_g3	x_g9	88
x_g11	x_g10	87
x_g11	x_g6	86
x_g8	x_g5	85
x_g7	x_g9	84
x_g2	x_g7	83
x_g6	x_g5	82
x_g6	x_g1	81
x_g11	x_g4	80
x_g10	x_g11	79
x_g5	x_g4	78
x_g5	x_g6	77
x_g11	x_g9	76
x_g8	x_g11	75
x_g5	x_g5	74
x_g6	x_g3	73
x_g7	x_g6	72
x_g5	x_g11	71
x_g9	x_g10	70
x_g9	x_g9	69
x_g11	x_g11	68
x_g4	x_g4	67
x_g2	x_g9	66
x_g6	x_g9	65
x_g6	x_g8	64
x_g3	x_g4	63
x_g6	x_g11	62
x_g11	x_g8	61
x_g3	x_g6	60
x_g8	x_g10	59
x_g8	x_g6	58
x_g9	x_g11	57
x_g8	x_g9	56
x_g10	x_g5	55
x_g6	x_g6	54
x_g7	x_g4	53
x_g10	x_g10	52
x_g5	x_g1	51
x_g9	x_g8	50
x_g6	x_g10	49
x_g8	x_g1	48
x_g3	x_g10	47
x_g5	x_g3	46
x_g4	x_g1	45
x_g4	x_g11	44
x_g11	x_g3	43
x_g10	x_g9	42
x_g9	x_g3	41
x_g5	x_g9	40
x_g7	x_g8	39
x_g2	x_g1	38
x_g9	x_g6	37
x_g7	x_g1	36
x_g3	x_g7	35
x_g8	x_g3	34
x_g7	x_g10	33
x_g1	x_g2	32
x_g4	x_g8	31
x_g3	x_g1	30
x_g4	x_g10	29
x_g1	x_g1	28
x_g8	x_g4	27
x_g2	x_g10	26
x_g3	x_g11	25
x_g10	x_g8	24
x_g4	x_g9	23
x_g3	x_g2	22
x_g2	x_g11	21
x_g1	x_g11	20
x_g5	x_g8	19
x_g7	x_g5	18
x_g10	x_g1	17
x_g2	x_g2	16
x_g3	x_g8	15
x_g1	x_g10	14
x_g1	x_g8	13
x_g9	x_g1	12
x_g1	x_g9	11
x_g9	x_g2	10
x_g11	x_g1	9
x_g2	x_g8	8
x_g6	x_g2	7
x_g10	x_g2	6
x_g8	x_g2	5
x_g6	x_g4	4
x_g7	x_g2	3
x_g4	x_g2	2
x_g5	x_g2	1
x_g11	x_g2	0
