Gene1	Gene2	EdgeWeight
g4	g5	120
g11	g7	120
g4	g9	120
g6	g7	119
g3	g7	119
g7	g7	119
g9	g7	118
g1	g4	118
g10	g7	118
g3	g4	117
g9	g4	117
g1	g5	117
g3	g5	116
g2	g2	116
g8	g6	116
g2	g7	115
g1	g3	115
g2	g8	115
g3	g3	114
g6	g5	114
g8	g5	113
g9	g5	113
g9	g9	113
g5	g8	112
g7	g3	112
g7	g5	112
g4	g6	111
g1	g7	111
g7	g4	111
g2	g3	110
g2	g10	110
g11	g4	110
g5	g10	109
g5	g6	108
g8	g8	107
g10	g10	107
g10	g5	106
g1	g6	105
g10	g4	105
g2	g5	104
g7	g10	104
g2	g6	103
g5	g5	103
g7	g11	102
g3	g9	102
g7	g6	101
g2	g4	101
g11	g1	100
g5	g7	99
g10	g6	99
g4	g7	98
g8	g10	97
g11	g5	97
g10	g1	96
g10	g3	96
g11	g11	95
g8	g7	95
g3	g6	94
g8	g4	94
g4	g4	93
g4	g3	93
g9	g6	92
g5	g4	92
g6	g9	91
g7	g9	89
g6	g8	88
g4	g10	87
g11	g10	87
g5	g11	87
g8	g9	86
g11	g6	86
g4	g8	84
g5	g9	83
g3	g2	82
g6	g1	81
g1	g1	81
g9	g11	80
g3	g8	79
g10	g11	79
g1	g2	78
g3	g10	78
g4	g11	77
g9	g2	76
g11	g9	76
g8	g11	75
g11	g2	75
g2	g9	74
g6	g3	73
g8	g2	73
g6	g4	72
g10	g8	71
g6	g6	70
g9	g10	70
g4	g1	69
g6	g11	68
g11	g3	67
g1	g10	63
g6	g2	62
g11	g8	61
g2	g11	60
g9	g1	60
g5	g1	59
g7	g1	58
g8	g3	55
g1	g11	54
g6	g10	51
g9	g8	50
g8	g1	48
g5	g3	46
g5	g2	45
g10	g9	42
g9	g3	41
g3	g11	41
g7	g8	39
g10	g2	39
g2	g1	38
g3	g1	35
g4	g2	28
g1	g8	26
g7	g2	22
g1	g9	21
