Parent	Type	Child	Weight	Probability	Score
x_g1	+	x_g1	0.450460	1.000000	0.497345
x_g2	+	x_g1	0.195643	0.999992	0.216004
x_g3	-	x_g1	-0.025874	0.195584	-0.005587
x_g4	-	x_g1	-0.018243	0.039858	-0.000803
x_g5	-	x_g1	-0.005661	0.012890	-0.000081
x_g6	+	x_g1	0.055382	0.656242	0.040127
x_g7	+	x_g1	0.058175	0.788488	0.050645
x_g8	-	x_g1	-0.010890	0.034456	-0.000414
x_g9	+	x_g1	0.030709	0.111878	0.003793
x_g10	-	x_g1	-0.106663	0.999605	-0.117718
x_g11	-	x_g1	-0.100812	0.995579	-0.110813
x_g1	+	x_g2	0.087481	0.999967	0.096583
x_g2	+	x_g2	0.233885	1.000000	0.258228
x_g3	+	x_g2	0.279155	1.000000	0.308210
x_g4	+	x_g2	0.001688	0.003044	0.000006
x_g5	+	x_g2	0.012411	0.086285	0.001182
x_g6	+	x_g2	0.022182	0.288781	0.007073
x_g7	+	x_g2	0.012854	0.101712	0.001444
x_g8	+	x_g2	0.013962	0.089512	0.001380
x_g9	+	x_g2	0.031010	0.528439	0.018092
x_g10	+	x_g2	0.021311	0.170315	0.004007
x_g11	-	x_g2	-0.042436	0.843648	-0.039527
x_g1	+	x_g3	0.028897	0.237154	0.007566
x_g2	+	x_g3	0.281604	1.000000	0.310914
x_g3	+	x_g3	0.309983	1.000000	0.342247
x_g4	+	x_g3	0.017306	0.109710	0.002096
x_g5	+	x_g3	0.029823	0.424169	0.013967
x_g6	+	x_g3	0.015216	0.115397	0.001939
x_g7	+	x_g3	0.012519	0.089918	0.001243
x_g8	+	x_g3	0.044654	0.782262	0.038567
x_g9	+	x_g3	0.024784	0.224133	0.006133
x_g10	+	x_g3	0.007865	0.036091	0.000313
x_g11	-	x_g3	-0.048480	0.917765	-0.049124
x_g1	-	x_g4	-0.547383	0.999228	-0.603890
x_g2	-	x_g4	-0.479901	0.979419	-0.518945
x_g3	-	x_g4	-0.004551	0.144827	-0.000728
x_g4	+	x_g4	0.404992	0.999999	0.447144
x_g5	-	x_g4	-0.089744	0.085861	-0.008508
x_g6	+	x_g4	0.010958	0.003000	0.000036
x_g7	+	x_g4	0.050663	0.043201	0.002416
x_g8	+	x_g4	0.311223	0.898787	0.308838
x_g9	-	x_g4	-0.407019	0.999980	-0.449374
x_g10	-	x_g4	-0.275057	0.749219	-0.227527
x_g11	-	x_g4	-0.056984	0.044826	-0.002820
x_g1	-	x_g5	-0.125832	0.130381	-0.018114
x_g2	+	x_g5	0.757669	0.999995	0.836525
x_g3	+	x_g5	0.598056	0.999327	0.659859
x_g4	-	x_g5	-0.111479	0.103088	-0.012688
