Gene1	Gene2	EdgeWeight
x_g1	x_g1	1.0
x_g10	x_g8	1.0
x_g2	x_g1	1.0
x_g9	x_g10	1.0
x_g8	x_g10	1.0
x_g10	x_g9	1.0
x_g9	x_g9	1.0
x_g8	x_g9	1.0
x_g9	x_g8	1.0
x_g9	x_g1	1.0
x_g8	x_g8	1.0
x_g9	x_g6	1.0
x_g3	x_g3	1.0
x_g2	x_g3	1.0
x_g11	x_g2	1.0
x_g3	x_g2	1.0
x_g8	x_g11	1.0
x_g9	x_g11	1.0
x_g11	x_g11	1.0
x_g1	x_g1	1.0
x_g2	x_g2	1.0
x_g3	x_g2	1.0
x_g2	x_g3	1.0
x_g3	x_g3	1.0
x_g8	x_g5	1.0
x_g8	x_g8	1.0
x_g9	x_g9	1.0
x_g1	x_g10	1.0
x_g6	x_g10	1.0
x_g7	x_g10	1.0
x_g10	x_g10	1.0
x_g1	x_g11	1.0
x_g2	x_g11	1.0
x_g2	x_g2	1.0
x_g10	x_g10	1.0
x_g5	x_g5	1.0
x_g3	x_g10	1.0
x_g3	x_g3	1.0
x_g6	x_g6	1.0
x_g2	x_g2	1.0
x_g1	x_g8	1.0
x_g2	x_g8	1.0
x_g3	x_g8	1.0
x_g1	x_g2	1.0
x_g4	x_g4	1.0
x_g1	x_g10	1.0
x_g1	x_g9	1.0
x_g1	x_g11	1.0
x_g11	x_g10	0.999999
x_g2	x_g5	0.9999950000000001
x_g9	x_g4	0.99998
x_g10	x_g1	0.9999549999999999
x_g2	x_g7	0.9999319999999999
x_g10	x_g5	0.9999309999999999
x_g3	x_g11	0.999767
x_g3	x_g5	0.9993270000000001
x_g1	x_g4	0.9992280000000001
x_g11	x_g8	0.9991180000000001
x_g10	x_g6	0.9990620000000001
x_g9	x_g5	0.9989889999999999
x_g11	x_g7	0.998828
x_g8	x_g7	0.998466
x_g7	x_g9	0.998081
x_g10	x_g11	0.9968809999999999
x_g11	x_g9	0.9966010000000001
x_g11	x_g1	0.9955790000000001
x_g4	x_g9	0.994181
x_g8	x_g6	0.9872559999999999
x_g2	x_g4	0.979419
x_g3	x_g9	0.948317
x_g11	x_g3	0.9177649999999999
x_g4	x_g11	0.910077
x_g7	x_g7	0.9086930000000001
x_g8	x_g4	0.8987870000000001
x_g9	x_g7	0.898658
x_g5	x_g7	0.883727
x_g4	x_g8	0.845201
x_g2	x_g10	0.8433350000000001
x_g7	x_g1	0.788488
x_g8	x_g3	0.782262
x_g10	x_g4	0.749219
x_g5	x_g9	0.740557
x_g1	x_g7	0.7382310000000001
x_g5	x_g6	0.716615
x_g6	x_g1	0.656242
x_g3	x_g7	0.652225
x_g2	x_g9	0.6014470000000001
x_g8	x_g1	0.588832
x_g9	x_g2	0.528439
x_g4	x_g10	0.5151720000000001
x_g4	x_g3	0.513103
x_g10	x_g7	0.513021
x_g7	x_g6	0.4794
x_g5	x_g3	0.462215
x_g10	x_g3	0.41066199999999997
x_g1	x_g3	0.39704
x_g4	x_g6	0.391045
x_g5	x_g8	0.370184
x_g3	x_g6	0.349632
x_g11	x_g4	0.337884
x_g10	x_g2	0.29261
x_g6	x_g2	0.288781
x_g5	x_g10	0.268915
x_g6	x_g5	0.253089
x_g5	x_g11	0.250625
x_g9	x_g3	0.224133
x_g7	x_g2	0.220586
x_g7	x_g3	0.219482
x_g1	x_g6	0.199857
x_g3	x_g1	0.19558399999999998
x_g5	x_g4	0.194517
x_g7	x_g11	0.18982000000000002
x_g8	x_g2	0.18104800000000001
x_g6	x_g8	0.168799
x_g2	x_g6	0.165232
x_g1	x_g5	0.15123
x_g6	x_g9	0.14886
x_g3	x_g4	0.14715
x_g6	x_g7	0.14372100000000002
x_g6	x_g3	0.115397
x_g11	x_g5	0.103968
x_g4	x_g5	0.10308800000000001
x_g6	x_g4	0.102365
x_g11	x_g6	0.09321900000000001
x_g7	x_g5	0.086535
x_g5	x_g2	0.086285
x_g6	x_g11	0.077968
x_g4	x_g7	0.072008
x_g7	x_g8	0.059136
x_g7	x_g4	0.058886
x_g4	x_g1	0.039858
x_g4	x_g2	0.017824
x_g5	x_g1	0.015222
