Gene1	Gene2	Score
g2	g3	0.654319906951689
g11	g2	-0.555121706635325
g2	g11	-0.555121706635325
g3	g2	0.48411789560338
g11	g3	-0.479255988271
g2	g10	-0.476488459572589
g10	g3	-0.456212067189867
g3	g10	-0.456212067189867
g8	g3	-0.440769784122506
g3	g8	-0.440769784122506
g2	g8	-0.413617864239394
g8	g2	-0.395816603017388
g10	g2	-0.39126351948102
g11	g10	0.39083762708712
g2	g9	-0.382224111082557
g9	g2	-0.377060894501698
g11	g8	0.373032639729444
g3	g11	-0.360385936627602
g11	g9	0.333910866123569
g9	g3	-0.33179976049812
g3	g9	-0.33179976049812
g8	g11	0.321566983458645
g10	g11	0.311040114172861
g10	g8	0.304195554724931
g9	g11	0.301653168170329
g8	g10	0.28317723198491
g9	g10	0.267637740991251
g8	g9	0.266199775694206
g10	g9	0.263185166468447
g9	g8	0.251805498367302
g3	g4	-0.20939477507091
g1	g10	-0.199406519246209
g1	g2	0.197789048726464
g11	g1	0.194979894465018
g1	g11	-0.190404497406721
g10	g5	0.188556011641025
g2	g4	-0.18415781922596
g7	g11	-0.174267759462894
g6	g11	0.172618897021809
g6	g10	0.170977750446475
g5	g7	0.170591701541978
g2	g1	0.169982772085822
g8	g5	0.166389165489776
g6	g9	0.166239799462734
g4	g9	-0.164122328613956
g10	g7	0.163821453082066
g9	g4	0.162662719308047
g1	g8	-0.162380717782197
g6	g4	-0.162094612423739
g4	g6	-0.161781330193841
g1	g3	0.161778297545156
g9	g5	0.16098800889219
g6	g3	-0.159986382203389
g10	g1	-0.158336515095889
g1	g9	-0.158209198971244
g1	g6	-0.15743048864445
g8	g4	0.157305033606988
g5	g6	0.156824340582312
g4	g11	-0.156661679593062
g7	g4	0.15663068979355
g10	g4	0.155488892812062
g3	g5	-0.153928803472873
g11	g7	0.153836617400677
g7	g1	-0.153560414708607
g7	g5	0.152771156811301
g7	g2	0.152362892551046
g7	g8	-0.15200402339704
g7	g6	-0.152003098379754
g2	g7	-0.151326239232127
g11	g5	-0.15062850489201
g4	g10	-0.149761136038638
g6	g2	-0.14974126919916
g11	g6	0.149408976878316
g6	g5	-0.148465140262795
g6	g8	0.148006834057815
g9	g7	0.147947274107527
g5	g1	0.146165259877736
g8	g7	0.143966118084306
g8	g6	0.143923672250593
g3	g1	-0.143391682914722
g2	g5	-0.14296575217373
g3	g6	0.142721814050027
g11	g4	0.142331554781864
g10	g6	0.141882658639353
g9	g1	0.141659330150648
g1	g5	0.141066625156416
g5	g4	0.14031108061438
g4	g7	0.14000227703768
g8	g1	0.13924773047713
g7	g10	-0.138680849570402
g2	g6	-0.137523561551861
g4	g2	-0.135033935209901
g6	g1	-0.134510515911215
g6	g7	-0.134260157315944
g5	g8	0.132301003744035
g4	g5	-0.12898903927379
g1	g7	0.127324748098196
g5	g2	-0.125870601879135
g5	g10	-0.125279248676615
g4	g1	-0.124080508263702
g5	g3	-0.123327308285195
g4	g8	-0.121775907981779
g7	g9	-0.121207577490603
g3	g7	-0.120757800447817
g5	g9	0.120542373247044
g7	g3	0.114846513217078
g1	g4	-0.113635301566053
g5	g11	0.112528698618877
g9	g6	-0.109393267345327
g4	g3	-0.098143593295353
