Gene1	Gene2	EdgeWeight
g8	g9	0.8494606304959759
g9	g10	0.818697870403704
g8	g5	0.790046087865342
g5	g9	0.783589032745669
g3	g1	0.750835767258487
g1	g3	0.750835767258487
g5	g8	0.73956073434865
g2	g3	0.654319906951689
g8	g4	0.651662544619501
g9	g1	0.640107540968735
g7	g6	0.6351352433039079
g6	g7	0.6351352433039079
g7	g9	0.6119479799926121
g5	g7	0.601631815369021
g7	g5	0.601631815369021
g8	g7	0.577404364898558
g5	g4	0.574837629464041
g9	g6	0.5721649505936489
g2	g11	0.555121706635325
g11	g2	0.555121706635325
g8	g6	0.550299764052294
g5	g6	0.523252232656932
g5	g10	0.5053238130515321
g8	g10	0.503577300140298
g3	g2	0.48411789560338
g9	g5	0.4819758993316
g11	g3	0.479255988271
g7	g8	0.47882478315908095
g2	g10	0.476488459572589
g3	g10	0.45621206718986695
g10	g3	0.45621206718986695
g3	g4	0.45591230464739596
g7	g4	0.45339831389951796
g7	g10	0.44439888025073604
g8	g3	0.440769784122506
g3	g8	0.440769784122506
g9	g8	0.438092221832067
g9	g7	0.422564177385748
g1	g4	0.41652377559335296
g9	g4	0.414724066456327
g2	g8	0.413617864239394
g6	g5	0.41058633300886
g8	g2	0.3958166030173879
g10	g2	0.39126351948102006
g11	g10	0.39083762708711994
g2	g9	0.382224111082557
g9	g2	0.377060894501698
g11	g8	0.37303263972944395
g7	g1	0.37233287131134896
g6	g4	0.3630482779543471
g4	g6	0.3630482779543471
g3	g11	0.36038593662760204
g3	g5	0.3523252609617539
g1	g5	0.35085642933189304
g6	g9	0.340608961354333
g11	g9	0.33391086612356896
g4	g9	0.33339754978326397
g3	g9	0.33179976049812
g9	g3	0.33179976049812
g6	g8	0.322486193940263
g8	g11	0.321566983458645
g10	g11	0.31104011417286104
g1	g2	0.307441792634833
g10	g1	0.30610879573117
g10	g8	0.30419555472493104
g9	g11	0.301653168170329
g4	g10	0.29964844200409496
g8	g1	0.29918724595470697
g5	g1	0.296684497650767
g2	g1	0.293921682628915
g4	g1	0.288652172506776
g3	g6	0.285753831242081
g4	g5	0.282650633956352
g2	g4	0.274344439499337
g1	g6	0.26351891869342803
g10	g9	0.263185166468447
g4	g7	0.256796089083975
g10	g6	0.256719943688627
g11	g1	0.25066721237108996
g2	g6	0.247088878017518
g2	g5	0.24428188948845997
g1	g11	0.243302450600603
g6	g1	0.239162224420157
g3	g7	0.225456414911331
g11	g4	0.222783434653125
g5	g2	0.215831710322483
g6	g10	0.21290967890412302
g10	g4	0.21196905549389702
g1	g8	0.211637151914619
g1	g9	0.21131605684605603
g6	g11	0.20533305327075999
g7	g3	0.20452462249543105
g1	g7	0.202515341301737
g1	g10	0.19940651924620897
g6	g2	0.19905089432985001
g4	g11	0.195716490173745
g10	g7	0.19341939773244002
g7	g2	0.19213514612224603
g10	g5	0.189239777945126
g11	g5	0.18217418552057002
g4	g3	0.17840875531115397
g2	g7	0.17587505281228602
g7	g11	0.17426775946289402
g11	g6	0.164200747424285
g4	g8	0.163291424574525
g6	g3	0.16187875776954
g4	g2	0.16176431759807902
g11	g7	0.153836617400677
g5	g11	0.146756307695133
g5	g3	0.14389456235446602
