Gene1	Gene2	corVal	pValue
x_g1	x_g1	1	0
x_g2	x_g2	1	0
x_g3	x_g3	1	0
x_g4	x_g4	1	0
x_g5	x_g5	1	0
x_g6	x_g6	1	0
x_g7	x_g7	1	0
x_g8	x_g8	1	0
x_g9	x_g9	1	0
x_g10	x_g10	1	0
x_g11	x_g11	1	0
x_g2	x_g1	0.485399567488466	3.318791609973e-118
x_g1	x_g2	0.485399567488466	3.31879160997394e-118
x_g10	x_g11	0.237987406855342	4.89889798018303e-27
x_g11	x_g10	0.237987406855342	4.8988979801831e-27
x_g9	x_g10	0.226063788812448	1.72945758159699e-24
x_g10	x_g9	0.226063788812448	1.72945758159701e-24
x_g9	x_g8	0.191358281529745	7.12523987785408e-18
x_g8	x_g9	0.191358281529745	7.12523987785429e-18
x_g7	x_g5	0.101327412694689	5.89512155393764e-06
x_g5	x_g7	0.101327412694689	5.89512155393764e-06
x_g4	x_g6	0.0976327622818667	1.27630717564394e-05
x_g6	x_g4	0.0976327622818667	1.27630717564394e-05
x_g5	x_g11	0.0334039355852902	0.136228400016517
x_g11	x_g5	0.0334039355852902	0.136228400016517
x_g5	x_g1	0.0292416818137892	0.192151241653041
x_g1	x_g5	0.0292416818137891	0.192151241653041
x_g1	x_g6	0.00499471727544708	0.823746566735666
x_g6	x_g1	0.00499471727544702	0.823746566735668
x_g6	x_g8	0.00198677661095207	0.92940328587646
x_g8	x_g6	0.001986776610952	0.929403285876463
x_g7	x_g1	0.000266070064395082	0.990533516133576
x_g1	x_g7	0.000266070064395043	0.990533516133577
x_g7	x_g8	-0.0174226409189442	0.437170661542352
x_g8	x_g7	-0.0174226409189442	0.437170661542352
x_g11	x_g9	-0.0224301473257012	0.317143840647809
x_g9	x_g11	-0.0224301473257013	0.317143840647809
x_g5	x_g3	-0.0291336971861502	0.193798753872754
x_g3	x_g5	-0.0291336971861502	0.193798753872753
x_g2	x_g3	-0.0296265921604232	0.186362409831503
x_g3	x_g2	-0.0296265921604232	0.186362409831502
x_g4	x_g1	-0.0326007687241535	0.145907613145642
x_g1	x_g4	-0.0326007687241536	0.145907613145641
x_g4	x_g11	-0.0406304785820699	0.0698986045832685
x_g11	x_g4	-0.0406304785820699	0.0698986045832684
x_g10	x_g5	-0.0463757112310641	0.0385341844714992
x_g5	x_g10	-0.0463757112310642	0.038534184471499
x_g10	x_g4	-0.0476479670294197	0.0335070660862144
x_g4	x_g10	-0.0476479670294198	0.0335070660862142
x_g11	x_g6	-0.0694670500386141	0.00192566583602881
x_g6	x_g11	-0.0694670500386141	0.00192566583602881
x_g4	x_g3	-0.0717790603589354	0.00135086153987988
x_g3	x_g4	-0.0717790603589354	0.00135086153987988
x_g10	x_g2	-0.0720872245420298	0.00128752937543355
x_g2	x_g10	-0.0720872245420298	0.00128752937543354
x_g10	x_g8	-0.0829157575633391	0.000212386769383175
x_g8	x_g10	-0.0829157575633392	0.00021238676938317
