Gene1	Gene2	EdgeWeight
x_g1	x_g1	1.0
x_g2	x_g2	1.0
x_g3	x_g3	1.0
x_g4	x_g4	1.0
x_g5	x_g5	1.0
x_g6	x_g6	1.0
x_g7	x_g7	1.0
x_g8	x_g8	1.0
x_g9	x_g9	1.0
x_g10	x_g10	1.0
x_g11	x_g11	1.0
x_g2	x_g1	0.48539956748846597
x_g1	x_g2	0.48539956748846597
x_g1	x_g3	-0.332372123380193
x_g3	x_g1	-0.332372123380193
x_g3	x_g11	-0.3163421856713
x_g11	x_g3	-0.3163421856713
x_g8	x_g2	-0.2987401017778111
x_g2	x_g8	-0.2987401017778111
x_g1	x_g10	-0.266754586744155
x_g10	x_g1	-0.266754586744155
x_g10	x_g3	-0.244090421999325
x_g3	x_g10	-0.244090421999325
x_g10	x_g11	0.23798740685534198
x_g11	x_g10	0.23798740685534198
x_g8	x_g1	-0.233953081140173
x_g1	x_g8	-0.233953081140173
x_g8	x_g3	-0.22843155248791003
x_g3	x_g8	-0.22843155248791003
x_g9	x_g10	0.226063788812448
x_g10	x_g9	0.226063788812448
x_g1	x_g9	-0.20520938690631
x_g9	x_g1	-0.20520938690631
x_g3	x_g9	-0.19894833810910698
x_g9	x_g3	-0.19894833810910698
x_g8	x_g9	0.19135828152974502
x_g9	x_g8	0.19135828152974502
x_g11	x_g2	-0.187631681101433
x_g2	x_g11	-0.187631681101433
x_g8	x_g4	-0.185477944648957
x_g4	x_g8	-0.185477944648957
x_g5	x_g9	-0.16484508003658702
x_g9	x_g5	-0.16484508003658702
x_g11	x_g8	-0.160412889121377
x_g8	x_g11	-0.160412889121377
x_g6	x_g9	-0.160263307016499
x_g9	x_g6	-0.160263307016499
x_g4	x_g9	-0.150531182648543
x_g9	x_g4	-0.150531182648543
x_g2	x_g9	-0.145631124581269
x_g9	x_g2	-0.145631124581269
x_g6	x_g7	-0.13914850413362698
x_g7	x_g6	-0.13914850413362698
x_g9	x_g7	-0.13886739654119198
x_g7	x_g9	-0.13886739654119198
x_g8	x_g5	-0.129044357352464
x_g5	x_g8	-0.129044357352463
x_g6	x_g10	-0.127751697982625
x_g10	x_g6	-0.127751697982625
x_g11	x_g1	-0.12319396369242698
x_g1	x_g11	-0.12319396369242698
x_g5	x_g6	-0.11719221973420098
x_g6	x_g5	-0.11719221973420098
x_g3	x_g7	-0.11462511962545299
x_g7	x_g3	-0.11462511962545299
x_g6	x_g2	-0.111925879778918
x_g2	x_g6	-0.111925879778918
x_g5	x_g2	-0.11082645341590101
x_g2	x_g5	-0.11082645341590101
x_g6	x_g3	-0.10969256884386501
x_g3	x_g6	-0.10969256884386501
x_g4	x_g5	-0.10508015437687401
x_g5	x_g4	-0.10508015437687401
x_g7	x_g5	0.10132741269468902
x_g5	x_g7	0.10132741269468902
x_g6	x_g4	0.0976327622818667
x_g4	x_g6	0.0976327622818667
x_g7	x_g11	-0.0975758438581731
x_g11	x_g7	-0.0975758438581731
x_g4	x_g2	-0.0943702011220307
x_g2	x_g4	-0.0943702011220307
x_g4	x_g7	-0.0929886158663944
x_g7	x_g4	-0.0929886158663944
x_g7	x_g2	-0.0915902211384643
x_g2	x_g7	-0.0915902211384643
x_g10	x_g7	-0.0834418160613691
x_g7	x_g10	-0.0834418160613691
x_g8	x_g10	-0.0829157575633392
x_g10	x_g8	-0.0829157575633391
x_g2	x_g10	-0.0720872245420298
x_g10	x_g2	-0.0720872245420298
x_g3	x_g4	-0.0717790603589354
x_g4	x_g3	-0.0717790603589354
x_g6	x_g11	-0.0694670500386141
x_g11	x_g6	-0.0694670500386141
x_g5	x_g11	0
x_g11	x_g5	0
x_g5	x_g1	0
x_g1	x_g5	0
x_g1	x_g6	0
x_g6	x_g1	0
x_g6	x_g8	0
x_g8	x_g6	0
x_g7	x_g1	0
x_g1	x_g7	0
x_g7	x_g8	0
x_g8	x_g7	0
x_g11	x_g9	0
x_g9	x_g11	0
x_g5	x_g3	0
x_g3	x_g5	0
x_g2	x_g3	0
x_g3	x_g2	0
x_g4	x_g1	0
x_g1	x_g4	0
x_g4	x_g11	0
x_g11	x_g4	0
x_g10	x_g5	0
x_g5	x_g10	0
x_g10	x_g4	0
x_g4	x_g10	0
