Gene1	Gene2	EdgeWeight
x_g3	x_g2	62.3836739499588
x_g4	x_g2	28.920969459970003
x_g3	x_g7	27.0000900761461
x_g3	x_g8	26.800980236950696
x_g5	x_g2	26.7133515023908
x_g3	x_g11	26.229467473824602
x_g7	x_g2	25.127803636651002
x_g7	x_g7	18.1783963785462
x_g3	x_g10	18.0607102473114
x_g7	x_g11	17.3455439922634
x_g4	x_g1	16.927016183943
x_g7	x_g8	16.596112878310198
x_g6	x_g10	15.1698903785081
x_g4	x_g10	15.031522728244902
x_g6	x_g11	14.626489188327199
x_g7	x_g1	12.8389849141219
x_g5	x_g8	12.7395015196543
x_g6	x_g1	12.369002256352902
x_g5	x_g1	12.296267886372199
x_g3	x_g4	11.2280759818604
x_g6	x_g9	11.1797309173614
x_g5	x_g11	10.8756329087368
x_g5	x_g10	10.745936032548
x_g4	x_g9	9.93828780364637
x_g5	x_g7	9.09072420839693
x_g11	x_g2	8.908807753487169
x_g6	x_g2	8.25476329143325
x_g4	x_g11	8.18531234498948
x_g7	x_g10	8.17889732649792
x_g3	x_g5	8.17219722514227
x_g4	x_g4	7.77165777519832
x_g9	x_g2	7.66636569997368
x_g6	x_g8	6.87259158351436
x_g9	x_g8	6.58822434562786
x_g4	x_g6	6.07805477695814
x_g8	x_g9	5.82773946628388
x_g7	x_g4	5.65956837099854
x_g9	x_g7	5.41087891081651
x_g5	x_g4	5.36395989311729
x_g4	x_g3	5.26897583695987
x_g3	x_g1	5.17013613643987
x_g7	x_g5	5.113833086345389
x_g5	x_g6	4.6376470900360305
x_g3	x_g3	4.496061967268781
x_g3	x_g6	4.1720095795735
x_g6	x_g3	4.09812586143177
x_g4	x_g8	4.02108747010932
x_g6	x_g6	3.92674025842358
x_g10	x_g8	3.75002580061933
x_g10	x_g7	3.6793139659809704
x_g5	x_g3	3.6580134684738703
x_g11	x_g1	3.5413427935726602
x_g9	x_g11	3.40575031941487
x_g10	x_g1	3.3677885476564997
x_g8	x_g8	3.2571202717622407
x_g1	x_g2	3.10904131067821
x_g10	x_g9	3.07231434907073
x_g10	x_g10	3.0715572746697197
x_g4	x_g7	3.06965167286931
x_g5	x_g9	3.06674809858944
x_g8	x_g10	2.9917281672671097
x_g2	x_g1	2.9431503343451806
x_g3	x_g9	2.87804562588454
x_g9	x_g1	2.7782177989601804
x_g11	x_g9	2.7657892053232302
x_g11	x_g11	2.57835829420531
x_g9	x_g10	2.51821162318638
x_g9	x_g9	2.36237768600739
x_g11	x_g7	2.28704981040357
x_g11	x_g8	2.16175827736222
x_g10	x_g2	2.05630718699671
x_g6	x_g5	1.8691500550645601
x_g8	x_g2	1.81206333683797
x_g2	x_g8	1.6921854862316101
x_g1	x_g11	1.42116221150495
x_g1	x_g8	1.3780837324351698
x_g11	x_g10	1.3450524408149698
x_g11	x_g4	1.24969897717998
x_g2	x_g7	1.24537732602026
x_g1	x_g7	1.24367154407857
x_g8	x_g3	1.17869764446885
x_g7	x_g6	1.1522072224780802
x_g10	x_g5	1.09802455239055
x_g1	x_g10	1.09694340961886
x_g10	x_g11	1.0590415085204898
x_g9	x_g4	1.03480174326803
x_g9	x_g5	0.985115571208062
x_g6	x_g4	0.982542485006923
x_g10	x_g6	0.9800127469457559
x_g8	x_g11	0.978830573135505
x_g5	x_g5	0.949323264181098
x_g7	x_g9	0.893101422301783
x_g2	x_g11	0.8571649448490329
x_g9	x_g6	0.754568665111475
x_g2	x_g2	0.681845794591638
x_g1	x_g4	0.5861293036759
x_g2	x_g10	0.5785364779496429
x_g8	x_g4	0.57224474404488
x_g2	x_g5	0.571213040135575
x_g11	x_g6	0.534996869927181
x_g6	x_g7	0.4694054842742871
x_g8	x_g6	0.4272910300949821
x_g1	x_g1	0.395001930676198
x_g7	x_g3	0.36508724387914204
x_g2	x_g4	0.361105603239288
x_g1	x_g9	0.35009849050213204
x_g1	x_g5	0.343652408172773
x_g11	x_g5	0.33954953077397
x_g10	x_g3	0.306511747417398
x_g10	x_g4	0.28775043354403196
x_g8	x_g7	0.279277943905386
x_g4	x_g5	0.24207223817317103
x_g11	x_g3	0.21853736979704197
x_g2	x_g6	0.19106265873583897
x_g1	x_g3	0.145948245570469
x_g1	x_g6	0.123472211451746
x_g2	x_g9	0.0967329908208013
x_g9	x_g3	0.0899349279870458
x_g2	x_g3	0.0578892142298213
x_g8	x_g1	0.0486728736504203
x_g8	x_g5	0.0176034027850005
