Gene1	Gene2	EdgeWeight
g3	g2	160.252634630067
g3	g1	151.393780395949
g3	g9	145.360343939848
g3	g8	87.1111857675764
g7	g1	85.916217399437
g7	g2	82.1122555442075
g3	g11	52.7860731606934
g5	g1	50.70290480925771
g3	g10	44.4547550834097
g7	g8	38.9461342762679
g4	g8	38.53121781553771
g9	g2	37.8251918362523
g5	g2	33.5815407794382
g9	g1	33.3869901288164
g2	g8	32.092803364500796
g6	g3	30.132959744253398
g7	g9	28.880435364466
g11	g9	28.216254522245602
g4	g2	27.4926186327767
g6	g8	27.122123661992998
g6	g1	26.644954691240606
g2	g9	26.571708974063398
g11	g8	26.1578873753758
g3	g7	25.853606225163997
g4	g11	25.6717767019008
g5	g8	24.9040489196631
g11	g2	23.2612749984129
g7	g11	20.920054660565
g10	g2	19.8912056470774
g5	g3	18.884883220935198
g4	g9	17.2948217422529
g11	g1	17.175264163102902
g6	g2	17.0054707710844
g9	g9	16.997108162307
g9	g8	16.8876304330872
g11	g10	15.1028815634052
g10	g1	14.403620591962301
g8	g3	13.975433978779302
g7	g10	13.031582775793199
g3	g6	12.5611476455013
g5	g11	12.2674137579542
g10	g8	12.075037945817002
g5	g9	11.7577129278479
g6	g4	11.730752914372301
g9	g11	11.652403704644303
g7	g3	11.429867345755
g7	g7	10.463586187140699
g6	g6	10.365231894549499
g11	g11	10.219242348479401
g10	g3	10.2027014128864
g10	g11	10.0459139867106
g8	g8	9.91136960590236
g1	g9	9.69710520101684
g3	g3	9.496155587516359
g8	g2	9.278163048318
g2	g1	9.19056838740552
g1	g1	9.148929992784801
g6	g7	8.82710015018819
g4	g1	8.40022568486695
g4	g6	7.90773156879628
g1	g2	7.76145255028999
g10	g9	7.57090956111876
g4	g4	7.518980725678941
g11	g3	7.338763702556799
g3	g5	7.285816755051742
g5	g10	7.195482576074902
g5	g4	7.10952898328707
g5	g6	6.50705545190794
g2	g6	6.32087726869913
g5	g7	6.0565720664457405
g4	g7	6.02424413697226
g4	g10	5.85483701138551
g9	g10	5.830313736669001
g11	g7	5.82968695036694
g2	g7	5.7285086797445715
g2	g2	5.33163172252222
g7	g4	5.31428695647136
g6	g10	5.1586980422218085
g9	g3	5.03998772869289
g11	g4	4.96211899192485
g4	g3	4.88848280946975
g3	g4	4.8878804812185095
g5	g5	4.28476620959345
g1	g8	4.18493732447088
g11	g6	4.15111945413383
g6	g9	3.9851653104626
g2	g10	3.73548483357877
g4	g5	3.6905126254150296
g8	g1	3.6364579693957
g8	g4	3.5358632311035403
g10	g10	3.3589765013901096
g7	g5	3.35877528880467
g1	g4	3.17005503543131
g8	g7	3.07431037324737
g8	g9	2.49739279656598
g8	g5	2.41775495982965
g2	g5	2.41067197805545
g9	g7	2.3696975604723503
g8	g11	2.36387541547838
g6	g11	2.30952122411135
g8	g6	2.2828493360269104
g2	g4	2.19724802225653
g10	g7	2.14932335508317
g2	g3	2.08917158892731
g2	g11	2.0582023520414
g1	g11	2.03317345591192
g1	g6	1.93759884876867
g1	g3	1.88483872935864
g10	g4	1.7406473278125
g1	g7	1.6627842727213702
g7	g6	1.6501701433453
g10	g6	1.64255721405058
g9	g4	1.63020614687729
g6	g5	1.56048346905333
g1	g10	1.52103542334008
g8	g10	1.4785869950441102
g1	g5	0.923583525897954
g11	g5	0.898294611423498
g9	g6	0.553692749130044
g9	g5	0.538919959927213
g10	g5	0.384050262530679
