Gene1	Gene2	EdgeWeight
g3	g1	0.12739766753858
g2	g1	0.0931145465314937
g10	g1	0.0900732539500896
g6	g10	0.0860209168100599
g10	g7	0.0843773229300017
g7	g6	0.0782143984017588
g1	g2	0.0779287326817352
g5	g6	0.0772189974618142
g3	g2	0.0754281561382147
g6	g3	0.0726853782237981
g6	g7	0.0718713422123011
g2	g11	0.0698138478477378
g8	g5	0.0678485293449275
g3	g11	0.0658365474470178
g10	g6	0.0610347828016053
g5	g4	0.0607579060712365
g4	g5	0.0606691808875244
g9	g7	0.0596012620045907
g4	g6	0.0592445867420561
g9	g6	0.0585321225163471
g7	g5	0.0576812346471657
g9	g10	0.0572555567353751
g6	g1	0.0571249130671075
g6	g5	0.0560086483097186
g2	g6	0.0558044260057338
g6	g9	0.0553794211316641
g11	g1	0.053510470927109
g4	g3	0.0524672021419475
g6	g4	0.052026191574931
g11	g7	0.051668088163152
g4	g1	0.0515844147704829
g10	g9	0.0515337944097203
g11	g5	0.0507804360654556
g5	g2	0.0505320066552905
g8	g6	0.0500314126163324
g4	g7	0.049570689144858
g7	g4	0.0486882477243798
g1	g3	0.04787290008951
g4	g8	0.047821278315053006
g4	g10	0.0475999629445862
g10	g4	0.0467238201663462
g2	g3	0.0467080522516637
g3	g4	0.0466650589243433
g9	g8	0.044907212259157996
g5	g1	0.0448417768557631
g11	g3	0.0439077893230731
g3	g8	0.0437078522271232
g11	g9	0.0431207723228056
g7	g10	0.0429273151226142
g7	g1	0.0421801699545526
g9	g4	0.0421048702312524
g4	g2	0.0419583442860668
g8	g3	0.0412343746211536
g8	g1	0.0410876621168505
g6	g2	0.0410115765147024
g5	g9	0.0405456163782592
g1	g11	0.039690526438105
g5	g7	0.0396639531011468
g11	g4	0.0395635897218064
g10	g3	0.0395587948156713
g7	g9	0.0391868195166829
g8	g10	0.0391723143977866
g1	g5	0.0386122817580395
g1	g7	0.0375555663334825
g4	g9	0.0374945858688134
g2	g7	0.0372588644631252
g3	g10	0.0356416375675482
g1	g10	0.0355480606373617
g2	g4	0.0355420338008435
g5	g3	0.0354857276056359
g2	g5	0.035217185258831
g9	g2	0.0351129155785783
g1	g8	0.0348911710236365
g8	g9	0.0341366702376759
g3	g6	0.0337048190741426
g2	g9	0.0336293561510427
g8	g11	0.033462895589638
g9	g5	0.0333317198558784
g5	g10	0.0332663622533511
g11	g2	0.0325934319048064
g3	g9	0.0321665538407595
g11	g10	0.0321198745802273
g6	g11	0.0320588519426012
g7	g3	0.0319925230887747
g1	g6	0.0318094654170706
g1	g4	0.0314385645665005
g2	g10	0.0312056894163348
g5	g8	0.0311885778245625
g10	g2	0.0310856752057071
g9	g3	0.0306791498285507
g6	g8	0.0300836783169283
g10	g11	0.0297024822233281
g5	g11	0.0295734064162267
g8	g4	0.0295084534840907
g7	g11	0.0292882071648467
g3	g5	0.0263787821357833
g11	g6	0.0253798709536548
g4	g11	0.025371990024929
g9	g11	0.0251590226768723
g10	g8	0.024835619668847002
g10	g5	0.0237519862634054
g8	g2	0.0236065579612425
g3	g7	0.0220371302991795
g2	g8	0.021690654075773
g1	g9	0.0216529385433963
g8	g7	0.019777855710835
g7	g8	0.0181763698664922
g11	g8	0.0171202358703973
g7	g2	0.0163146514972089
g9	g1	0.0156805176103326
