Gene1	Gene2	EdgeWeight
g11	g8	2.03055573342909
g7	g3	1.6711066836357502
g8	g9	1.6320852643526298
g8	g10	1.44273867221733
g10	g3	1.41114432146828
g10	g1	1.31212323493477
g4	g9	1.1953004310656001
g5	g4	1.14010832881292
g5	g9	1.02990108193002
g7	g1	1.0
g4	g4	1.0
g8	g6	1.0
g7	g9	0.9701875746169559
g3	g6	0.968899296089752
g7	g10	0.956210894626938
g11	g6	0.931202234610223
g5	g6	0.878439139035645
g1	g1	0.8333435659843041
g3	g1	0.832136331557675
g8	g4	0.8080370591378551
g10	g2	0.7996643304664179
g4	g6	0.7866981806352871
g9	g8	0.7552455683996651
g7	g8	0.7480354267319108
g3	g9	0.724480841130379
g11	g4	0.7163353583843639
g9	g3	0.697938772756638
g7	g11	0.690954892737499
g2	g4	0.687758830544046
g5	g8	0.662983526165227
g2	g10	0.657494734533385
g7	g6	0.6567712606402509
g3	g11	0.65417020786769
g6	g4	0.6394555110078989
g3	g4	0.637213181615154
g7	g2	0.616643169251918
g10	g8	0.5961618525145109
g7	g4	0.588842004996609
g10	g11	0.581976630092952
g6	g11	0.563775934857636
g9	g4	0.550781618620619
g3	g8	0.5360323227694079
g1	g4	0.521338982047545
g7	g7	0.5100526599822429
g11	g9	0.488003272762106
g1	g8	0.45294606029314705
g2	g8	0.438655893895661
g1	g11	0.42274421695439396
g6	g3	0.41730874856745703
g6	g8	0.403174820285151
g5	g10	0.40311266723826295
g6	g9	0.39919632860420207
g9	g6	0.390812925861853
g6	g5	0.37541889047772997
g2	g11	0.37436595554627294
g9	g9	0.35081882138626597
g10	g9	0.342571273562717
g11	g11	0.307220308736739
g3	g3	0.28882922677865097
g8	g8	0.287710424643664
g3	g10	0.281829913860086
g1	g9	0.267823243512195
g6	g2	0.26071059878355
g2	g9	0.254527238977674
g6	g10	0.251866833597807
g1	g10	0.25119040890419
g2	g5	0.24797050088896103
g8	g5	0.24114961213718697
g8	g11	0.23881844072008698
g11	g1	0.23761940386300198
g6	g7	0.23500040280460197
g10	g7	0.23227650239967604
g10	g4	0.23097676366866196
g11	g5	0.230764351881672
g1	g5	0.23037369342741898
g11	g10	0.22841599747067604
g5	g5	0.203138661792632
g6	g1	0.198525326832298
g3	g5	0.18830765259458102
g1	g3	0.18180616319057502
g11	g2	0.18006386423042103
g10	g5	0.17838043098718398
g2	g1	0.175842052397779
g1	g2	0.174514198146321
g7	g5	0.17152101395053
g6	g6	0.169822410880798
g4	g10	0.164844461737095
g3	g2	0.154842740072023
g5	g11	0.149788518706924
g4	g3	0.132187653947034
g1	g7	0.117281438640738
g3	g7	0.11155281223469699
g10	g10	0.11112059882527302
g11	g3	0.0778259338134865
g9	g11	0.0651033436667545
g8	g2	0.0590977017374748
g5	g3	0.0552485406766513
g4	g11	0.0453840419948071
g4	g8	0.0433648246263587
g2	g7	0.0404005011697086
g8	g1	0.0294974053485808
g8	g3	0.0245828843088992
g11	g7	0.022988004259776998
g8	g7	0.0216394941767554
g2	g2	0.0161516534652375
g2	g3	0.00793649036689849
g2	g6	0.00707736187860055
g1	g6	0.00538793768134037
g10	g6	0.0026695100288610697
g9	g10	0.0012292107574688
g4	g2	8.56357522070534e-36
g4	g1	7.559867312049869e-36
g9	g7	4.8690647470740096e-36
g5	g1	3.74259512519135e-36
g5	g7	2.81536609868349e-36
g5	g2	9.713004771966708e-37
g9	g2	7.04825751944141e-37
g9	g5	6.93456789986191e-37
g4	g7	1.0830987239392898e-37
g9	g1	2.1368724379586798e-38
g4	g5	0.0
g4	g5	0.0
g4	g5	0.0
