Regulator	Target	SINGE_Score
x_g1	x_g5	6
x_g1	x_g3	1.5
x_g2	x_g3	0.66666
x_g1	x_g4	0.375
x_g2	x_g7	0.24
x_g8	x_g4	0.16666
x_g1	x_g6	0.12244
x_g2	x_g6	0.09375
x_g7	x_g3	0.07407
x_g9	x_g5	0.06
x_g2	x_g5	0.04958
x_g8	x_g6	0.04166
x_g9	x_g6	0.0355
x_g4	x_g5	0.03061
x_g2	x_g9	0.02666
x_g10	x_g6	0.02343
x_g11	x_g5	0.01851
x_g8	x_g11	0.01662
x_g9	x_g11	0.01239
x_g10	x_g3	0.01134
x_g9	x_g4	0.01041
x_g11	x_g6	0.0096
x_g11	x_g7	0.00887
x_g11	x_g3	0.00823
x_g1	x_g11	0.00765
x_g7	x_g10	0.00713
x_g8	x_g9	0.00666
x_g10	x_g4	0.00624
x_g9	x_g3	0.00585
x_g6	x_g4	0.0055
x_g5	x_g4	0.00519
x_g3	x_g5	0.00489
x_g6	x_g5	0.00462
x_g10	x_g8	0.00415
x_g6	x_g7	0.00394
x_g4	x_g3	0.00375
x_g3	x_g7	0.00356
x_g9	x_g10	0.00324
x_g9	x_g8	0.00309
x_g11	x_g10	0.00296
x_g6	x_g9	0.00271
x_g4	x_g6	0.0026
x_g11	x_g4	0.00249
x_g7	x_g4	0.0024
x_g4	x_g7	0.0023
x_g5	x_g11	0.00221
x_g8	x_g10	0.00213
x_g6	x_g3	0.00205
x_g7	x_g9	0.00191
x_g10	x_g11	0.00184
x_g5	x_g3	0.00172
x_g10	x_g7	0.00166
x_g6	x_g10	0.00161
x_g8	x_g3	0.00151
x_g7	x_g5	0.00146
x_g7	x_g8	0.00142
x_g3	x_g10	0.00137
x_g8	x_g5	0.00129
x_g7	x_g6	0.00126
x_g2	x_g11	0.00122
x_g3	x_g4	0.00119
x_g2	x_g10	0.00115
x_g6	x_g11	0.00112
x_g5	x_g7	0.00109
x_g2	x_g8	0.00106
x_g10	x_g1	0.00103
x_g9	x_g7	0.00101
x_g11	x_g9	0.00098
x_g11	x_g8	0.00096
x_g3	x_g9	0.00091
x_g8	x_g2	0.00089
x_g2	x_g4	0.00087
x_g3	x_g8	0.00085
x_g5	x_g10	0.00083
x_g10	x_g9	0.00081
x_g7	x_g11	0.00079
x_g5	x_g6	0.00077
x_g11	x_g1	0.00075
x_g5	x_g8	0.00074
x_g4	x_g10	0.00072
x_g8	x_g7	0.0007
x_g3	x_g11	0.00069
x_g10	x_g5	0.00067
x_g5	x_g2	0.00066
x_g7	x_g1	0.00065
x_g3	x_g6	0.00063
x_g6	x_g8	0.00062
x_g9	x_g2	0.00061
x_g4	x_g8	0.0006
x_g5	x_g1	0.00058
x_g4	x_g11	0.00057
