TF	target	importance
g1	g3	0.5380406150807843
g3	g1	0.4524363319522437
g1	g2	0.44764794021725723
g1	g4	0.21131839815872644
g4	g6	0.20373732889056687
g1	g5	0.19818472752330277
g2	g3	0.18853148760012203
g4	g5	0.18198518390239637
g6	g4	0.17516911805416485
g1	g6	0.1673253514036072
g4	g1	0.16518569543576886
g5	g4	0.16517609803889524
g2	g5	0.14019966182656066
g2	g6	0.13434930910109052
g2	g1	0.12959102201879658
g2	g4	0.12742231155868763
g1	g11	0.12293235554085136
g3	g2	0.12221851094039304
g3	g10	0.12172303545746277
g3	g11	0.12116363727288458
g4	g7	0.12086446031276243
g1	g9	0.11739932114096512
g3	g8	0.11215127019731994
g3	g7	0.11139202151559345
g3	g9	0.10953929332414007
g1	g10	0.10814616230197804
g4	g2	0.10727042855723401
g5	g10	0.106676309884917
g1	g8	0.10550166827644473
g5	g7	0.10507825672473485
g4	g11	0.1040383054457422
g10	g8	0.10386178672283529
g7	g8	0.10256763303826154
g4	g10	0.10204807933074643
g1	g7	0.10180620934046825
g11	g8	0.10155157212050737
g11	g10	0.10152336272136285
g8	g7	0.10115279620223545
g8	g9	0.10104405643840349
g2	g11	0.10101869396894665
g3	g5	0.10059534584825386
g4	g9	0.10047646799702754
g5	g9	0.10031748724974786
g9	g8	0.09999716823917082
g3	g6	0.09968249209278869
g2	g8	0.0996814684327693
g6	g5	0.09920589209016621
g6	g9	0.09754003707466104
g7	g9	0.0973028763963112
g7	g10	0.09719124327736225
g3	g4	0.09577597793718784
g5	g11	0.0950875705220113
g2	g7	0.0948977966032151
g2	g9	0.09477379620605536
g10	g11	0.09448285910630894
g5	g8	0.09428780438934076
g8	g11	0.09412305790136181
g4	g8	0.09369651000382867
g10	g7	0.09369577477550085
g11	g9	0.09300987760316994
g8	g10	0.0923515136738674
g6	g7	0.09125242761223883
g6	g10	0.09070991538348927
g5	g6	0.09050662211894019
g11	g7	0.09027244444804561
g9	g11	0.09009220320913575
g2	g10	0.09007916090503465
g9	g7	0.08958781246520518
g9	g10	0.08955121706377937
g7	g11	0.08901228270038723
g10	g9	0.08859678656951847
g6	g11	0.0880490343323701
g5	g1	0.0867358253191274
g6	g8	0.08670311857952154
g5	g2	0.07479144198789617
g6	g1	0.0703918455120364
g6	g2	0.06712103528763404
g9	g6	0.0665642225032198
g7	g6	0.06510969502088905
g9	g5	0.06218165755489222
g11	g6	0.06009980035706433
g7	g5	0.05929546557263034
g10	g6	0.058894318199483334
g11	g4	0.056093642169918266
g8	g6	0.0537308603123501
g11	g5	0.05362499759509594
g10	g5	0.05291300614944977
g8	g5	0.05181406193725181
g7	g4	0.0507190782293662
g4	g3	0.04789739963624828
g10	g4	0.041045831269803566
g9	g4	0.0408258922124988
g8	g2	0.03958164772121183
g10	g2	0.03936488201694808
g11	g3	0.03775649179347348
g8	g4	0.03645365237075112
g8	g3	0.03593544553750985
g7	g2	0.035553759924760744
g11	g2	0.03352554300295835
g9	g2	0.0329248103437066
g10	g3	0.032877744260814044
g5	g3	0.03208642352696534
g9	g3	0.03202447157920889
g7	g3	0.029889722646295257
g6	g3	0.024960198338578526
g11	g1	0.02362607063858278
g9	g1	0.020931612635037226
g10	g1	0.01721930399371787
g8	g1	0.017218564173157078
g7	g1	0.016663728321532113
