Gene1	Gene2	EdgeWeight
g1	g3	0.5380406150807843
g3	g1	0.4524363319522437
g1	g2	0.4476479402172572
g1	g4	0.21131839815872644
g4	g6	0.20373732889056687
g1	g5	0.1981847275233028
g2	g3	0.18853148760012206
g4	g5	0.1819851839023964
g6	g4	0.17516911805416485
g1	g6	0.1673253514036072
g4	g1	0.16518569543576886
g5	g4	0.16517609803889524
g2	g5	0.14019966182656066
g2	g6	0.13434930910109052
g2	g1	0.12959102201879658
g2	g4	0.12742231155868766
g1	g11	0.12293235554085136
g3	g2	0.12221851094039304
g3	g10	0.12172303545746276
g3	g11	0.12116363727288458
g4	g7	0.12086446031276245
g1	g9	0.11739932114096513
g3	g8	0.11215127019731994
g3	g7	0.11139202151559344
g3	g9	0.10953929332414007
g1	g10	0.10814616230197804
g4	g2	0.107270428557234
g5	g10	0.106676309884917
g1	g8	0.10550166827644472
g5	g7	0.10507825672473484
g4	g11	0.1040383054457422
g10	g8	0.10386178672283528
g7	g8	0.10256763303826154
g4	g10	0.10204807933074644
g1	g7	0.10180620934046823
g11	g8	0.10155157212050736
g11	g10	0.10152336272136284
g8	g7	0.10115279620223544
g8	g9	0.10104405643840347
g2	g11	0.10101869396894664
g3	g5	0.10059534584825386
g4	g9	0.10047646799702754
g5	g9	0.10031748724974786
g9	g8	0.09999716823917082
g3	g6	0.09968249209278868
g2	g8	0.0996814684327693
g6	g5	0.0992058920901662
g6	g9	0.09754003707466104
g7	g9	0.0973028763963112
g7	g10	0.09719124327736224
g3	g4	0.09577597793718784
g5	g11	0.0950875705220113
g2	g7	0.0948977966032151
g2	g9	0.09477379620605536
g10	g11	0.09448285910630894
g5	g8	0.09428780438934076
g8	g11	0.0941230579013618
g4	g8	0.09369651000382867
g10	g7	0.09369577477550084
g11	g9	0.09300987760316994
g8	g10	0.0923515136738674
g6	g7	0.09125242761223884
g6	g10	0.09070991538348927
g5	g6	0.0905066221189402
g11	g7	0.0902724444480456
g9	g11	0.09009220320913576
g2	g10	0.09007916090503464
g9	g7	0.08958781246520517
g9	g10	0.08955121706377937
g7	g11	0.08901228270038722
g10	g9	0.08859678656951847
g6	g11	0.0880490343323701
g5	g1	0.0867358253191274
g6	g8	0.08670311857952154
g5	g2	0.07479144198789618
g6	g1	0.0703918455120364
g6	g2	0.06712103528763404
g9	g6	0.0665642225032198
g7	g6	0.06510969502088905
g9	g5	0.062181657554892224
g11	g6	0.060099800357064324
g7	g5	0.05929546557263034
g10	g6	0.05889431819948333
g11	g4	0.05609364216991826
g8	g6	0.0537308603123501
g11	g5	0.05362499759509594
g10	g5	0.05291300614944977
g8	g5	0.05181406193725181
g7	g4	0.0507190782293662
g4	g3	0.04789739963624828
g10	g4	0.041045831269803566
g9	g4	0.0408258922124988
g8	g2	0.03958164772121183
g10	g2	0.03936488201694808
g11	g3	0.037756491793473484
g8	g4	0.03645365237075112
g8	g3	0.03593544553750985
g7	g2	0.035553759924760744
g11	g2	0.03352554300295835
g9	g2	0.0329248103437066
g10	g3	0.032877744260814044
g5	g3	0.032086423526965335
g9	g3	0.03202447157920889
g7	g3	0.029889722646295257
g6	g3	0.02496019833857853
g11	g1	0.023626070638582783
g9	g1	0.020931612635037226
g10	g1	0.01721930399371787
g8	g1	0.017218564173157078
g7	g1	0.016663728321532113
