Gene1	Gene2	EdgeWeight
g4	g5	120
g6	g7	119
g1	g4	118
g1	g5	117
g3	g5	116
g1	g3	115
g3	g3	114
g9	g5	113
g7	g3	112
g4	g6	111
g2	g3	110
g5	g10	109
g10	g7	108
g8	g8	107
g7	g7	106
g10	g4	105
g2	g5	104
g2	g6	103
g7	g11	102
g2	g4	101
g11	g7	100
g9	g4	99
g4	g7	98
g1	g7	97
g10	g3	96
g11	g5	95
g5	g7	94
g4	g3	93
g9	g7	92
g8	g7	91
g1	g6	90
g10	g6	89
g3	g9	88
g11	g10	87
g11	g6	86
g8	g5	85
g7	g9	84
g2	g7	83
g6	g5	82
g6	g1	81
g11	g4	80
g10	g11	79
g5	g4	78
g5	g6	77
g11	g9	76
g8	g11	75
g5	g5	74
g6	g3	73
g7	g6	72
g5	g11	71
g9	g10	70
g9	g9	69
g11	g11	68
g4	g4	67
g2	g9	66
g6	g9	65
g6	g8	64
g3	g4	63
g6	g11	62
g11	g8	61
g3	g6	60
g8	g10	59
g8	g6	58
g9	g11	57
g8	g9	56
g10	g5	55
g6	g6	54
g7	g4	53
g10	g10	52
g5	g1	51
g9	g8	50
g6	g10	49
g8	g1	48
g3	g10	47
g5	g3	46
g4	g1	45
g4	g11	44
g11	g3	43
g10	g9	42
g9	g3	41
g5	g9	40
g7	g8	39
g2	g1	38
g9	g6	37
g7	g1	36
g3	g7	35
g8	g3	34
g7	g10	33
g1	g2	32
g4	g8	31
g3	g1	30
g4	g10	29
g1	g1	28
g8	g4	27
g2	g10	26
g3	g11	25
g10	g8	24
g4	g9	23
g3	g2	22
g2	g11	21
g1	g11	20
g5	g8	19
g7	g5	18
g10	g1	17
g2	g2	16
g3	g8	15
g1	g10	14
g1	g8	13
g9	g1	12
g1	g9	11
g9	g2	10
g11	g1	9
g2	g8	8
g6	g2	7
g10	g2	6
g8	g2	5
g6	g4	4
g7	g2	3
g4	g2	2
g5	g2	1
g11	g2	0
