Gene1	Gene2	EdgeWeight
g1	g3	468.1775044736875
g3	g1	434.95055761643823
g1	g2	362.1412364914825
g2	g3	190.15680470385723
g4	g1	169.6477695237943
g2	g1	140.65671371666693
g3	g2	125.79782370632273
g4	g5	124.80871177906229
g4	g2	123.01615685481708
g1	g4	119.75703331688213
g5	g1	100.33165017109036
g6	g1	96.14907672007405
g1	g5	91.78075090254605
g6	g4	88.14246886792614
g8	g2	85.13078319908105
g4	g6	83.2181445453106
g5	g4	78.81086223050241
g11	g2	76.4324652196444
g5	g2	76.03889047855348
g6	g2	74.26714462654657
g2	g5	73.70069129254601
g2	g4	73.69448800596454
g10	g2	65.7311778784787
g1	g6	63.43418733694097
g6	g5	59.76267874406632
g9	g2	45.98855762311379
g3	g4	44.55022940360707
g2	g6	44.39629118541061
g4	g3	43.24851318974079
g7	g2	42.45576392195949
g3	g5	41.660229560930624
g9	g1	36.090853613988266
g11	g3	31.747862436499872
g5	g3	30.69610776633635
g3	g11	30.0105441055717
g8	g3	29.927053182653037
g10	g1	29.062178797288734
g10	g3	28.83747142112144
g11	g1	28.837357307391528
g9	g3	28.246672696828046
g3	g6	27.550171690360326
g7	g1	27.188840823675214
g9	g5	26.407224392406764
g7	g3	25.984114069780002
g1	g11	24.927506749752077
g11	g4	24.50682434335678
g3	g10	23.384940332039537
g8	g1	23.085001709592472
g7	g5	23.01214212091783
g6	g3	22.97789605949573
g2	g11	22.44723194779022
g5	g6	21.991758304534784
g4	g11	21.314845723529263
g7	g4	21.015773634249147
g10	g5	20.564286722288827
g8	g5	19.38321897582672
g11	g5	18.9200655094085
g5	g11	15.847282881307475
g1	g10	15.78362956377789
g2	g10	14.948011824948251
g1	g9	14.779328555451142
g6	g11	14.000437340277932
g10	g4	13.852377461409596
g10	g11	13.647029071947829
g9	g4	13.185968496926582
g9	g6	12.37472558335143
g6	g9	12.233385321279506
g3	g9	12.102415697599811
g8	g4	10.483974239175568
g4	g10	9.838385423474454
g7	g11	9.814071399132994
g11	g6	9.715721603287124
g9	g11	9.709653161213943
g5	g10	9.662625678972137
g1	g8	9.613997813061124
g2	g8	9.533943378722187
g3	g8	9.378625419296682
g9	g10	9.29249466642877
g8	g11	9.281397619476571
g7	g6	9.229447298089474
g11	g10	9.032998638639565
g4	g9	8.594994703604433
g8	g9	8.592989608680206
g3	g7	8.233149747001102
g10	g6	8.076133331155326
g8	g10	7.786083266558586
g11	g8	7.4892194888725685
g2	g9	7.362808786917936
g7	g8	7.23519803092878
g8	g6	7.013419121559339
g6	g10	6.776482648701769
g1	g7	6.661844722588414
g10	g8	6.622162857245699
g5	g9	6.611773004560505
g4	g7	6.605684458429816
g7	g10	6.494347956459035
g7	g9	6.1021030423393965
g10	g9	5.005016098094174
g5	g8	4.96658591115304
g4	g8	4.779190056869167
g11	g9	4.615185181472884
g9	g8	4.611776469248353
g2	g7	4.510462915458903
g8	g7	4.290888260913601
g10	g7	4.1789541153641006
g9	g7	3.969271641239657
g6	g8	3.769300574602396
g5	g7	3.629686818069411
g11	g7	3.2639668490679408
g6	g7	2.6560904718670533
