Gene1	Gene2	EdgeWeight
g2	g3	1.9143694842000212
g3	g2	1.9143694842000212
g4	g6	1.8436500796137103
g6	g4	1.8436500796137103
g1	g6	1.792812896249774
g6	g1	1.792812896249774
g7	g9	1.7590893965802452
g9	g7	1.7590893965802452
g1	g2	1.7235653786934728
g2	g1	1.7235653786934728
g1	g3	1.7188522405907636
g3	g1	1.7188522405907636
g2	g4	1.6202652000297064
g4	g2	1.6202652000297064
g3	g4	1.6158942235437868
g4	g3	1.6158942235437868
g3	g5	1.585119201464653
g5	g3	1.585119201464653
g2	g5	1.5834834694491071
g5	g2	1.5834834694491071
g1	g4	1.5827439956089808
g4	g1	1.5827439956089808
g2	g6	1.5281026056601317
g6	g2	1.5281026056601317
g4	g5	1.4791175449809248
g5	g4	1.4791175449809248
g5	g10	1.3779451475903772
g10	g5	1.3779451475903772
g2	g7	1.3730529477412132
g7	g2	1.3730529477412132
g8	g11	1.3678997340938523
g11	g8	1.3678997340938523
g4	g11	1.3656104286116493
g11	g4	1.3656104286116493
g3	g6	1.3547340344531116
g6	g3	1.3547340344531116
g3	g8	1.2852390000477758
g8	g3	1.2852390000477758
g6	g9	1.251696568853654
g9	g6	1.251696568853654
g2	g10	1.2448266221723696
g10	g2	1.2448266221723696
g3	g11	1.2054204226224614
g11	g3	1.2054204226224614
g6	g8	1.1790172855898742
g8	g6	1.1790172855898742
g5	g6	1.1785181400484164
g6	g5	1.1785181400484164
g4	g7	1.1666036897543706
g7	g4	1.1666036897543706
g2	g9	1.1320093306923182
g9	g2	1.1320093306923182
g2	g8	1.125656847092107
g8	g2	1.125656847092107
g8	g9	1.1029207650020991
g9	g8	1.1029207650020991
g1	g5	1.005320060065912
g5	g1	1.005320060065912
g5	g11	0.9633097133865256
g11	g5	0.9633097133865256
g6	g10	0.8784141667433366
g10	g6	0.8784141667433366
g3	g9	0.875387442243022
g9	g3	0.875387442243022
g3	g10	0.8704127259692924
g10	g3	0.8704127259692924
g4	g9	0.8624173401206117
g9	g4	0.8624173401206117
g6	g11	0.7586708682957437
g11	g6	0.7586708682957437
g3	g7	0.7563210312861891
g7	g3	0.7563210312861891
g7	g10	0.7084967865190355
g10	g7	0.7084967865190355
g4	g10	0.7027032839800724
g10	g4	0.7027032839800724
g1	g8	0.6738637824022329
g8	g1	0.6738637824022329
g7	g11	0.6055756913357582
g11	g7	0.6055756913357582
g5	g7	0.5162221961833198
g7	g5	0.5162221961833198
g8	g10	0.4903452308715376
g10	g8	0.4903452308715376
g1	g7	0.4842133011431112
g7	g1	0.4842133011431112
g2	g11	0.4630113895175517
g11	g2	0.4630113895175517
g5	g8	0.4621036328829644
g8	g5	0.4621036328829644
g6	g7	0.3688812516259848
g7	g6	0.3688812516259848
g1	g9	0.35552195208933296
g9	g1	0.35552195208933296
g9	g11	0.33851104931800113
g11	g9	0.33851104931800113
g9	g10	0.2947008277333454
g10	g9	0.2947008277333454
g1	g10	0.2890443272041926
g10	g1	0.2890443272041926
g5	g9	0.22507172274397635
g9	g5	0.22507172274397635
g1	g11	0.20656317798787666
g11	g1	0.20656317798787666
g7	g8	0.20180758310945432
g8	g7	0.20180758310945432
g10	g11	0.07935985883318944
g11	g10	0.07935985883318944
g4	g8	0.06736480458901704
g8	g4	0.06736480458901704
