Gene1	Gene2	corVal	pValue
g1	g1	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g5	g5	1	0
g6	g6	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g10	g10	1	0
g11	g11	1	0
g9	g1	0.150258529141351	4.16165619260432e-05
g1	g9	0.150258529141351	4.16165619260432e-05
g1	g2	0.143194841163729	9.47750400887755e-05
g2	g1	0.143194841163729	9.47750400887773e-05
g6	g4	0.119502442766274	0.00114361828128726
g4	g6	0.119502442766274	0.00114361828128726
g1	g11	0.115785995198821	0.00162862252211916
g11	g1	0.115785995198821	0.00162862252211916
g10	g1	0.0928050893830521	0.0116580519992739
g1	g10	0.092805089383052	0.0116580519992739
g8	g1	0.0709767405500738	0.0539387750316518
g1	g8	0.0709767405500738	0.0539387750316518
g5	g11	0.0703860878596573	0.0559725810651736
g11	g5	0.0703860878596573	0.0559725810651737
g9	g4	0.0578194983434805	0.116558484003075
g4	g9	0.0578194983434805	0.116558484003075
g8	g5	0.0564091032674468	0.125759485061263
g5	g8	0.0564091032674468	0.125759485061263
g8	g9	0.0323478577050355	0.380211323594829
g9	g8	0.0323478577050355	0.380211323594829
g1	g7	0.0278499443460834	0.449985028415633
g7	g1	0.0278499443460834	0.449985028415633
g11	g10	0.0250944064711182	0.496080219085812
g10	g11	0.0250944064711182	0.496080219085812
g9	g7	0.0177832141329893	0.629578073929562
g7	g9	0.0177832141329893	0.629578073929562
g8	g11	0.0172985192138059	0.638946135286433
g11	g8	0.0172985192138059	0.638946135286433
g7	g5	0.0134706613391959	0.714855873046334
g5	g7	0.0134706613391959	0.714855873046334
g8	g10	0.0134615086894936	0.71504117215254
g10	g8	0.0134615086894936	0.71504117215254
g7	g10	0.0130996626971328	0.722380219176475
g10	g7	0.0130996626971328	0.722380219176475
g6	g10	0.00203067826509493	0.956080890052315
g10	g6	0.00203067826509491	0.956080890052316
g7	g8	-0.000467708590784027	0.989879658317841
g8	g7	-0.000467708590784028	0.989879658317841
g4	g10	-0.00307617833841124	0.933512432980403
g10	g4	-0.00307617833841125	0.933512432980402
g6	g11	-0.00346806271650105	0.925065853791311
g11	g6	-0.00346806271650105	0.925065853791311
g11	g7	-0.00528059421445318	0.886123325206411
g7	g11	-0.00528059421445319	0.886123325206411
g10	g9	-0.00636325616530447	0.86298634426648
g9	g10	-0.00636325616530447	0.86298634426648
g6	g8	-0.00818614868746611	0.82430380756682
g8	g6	-0.00818614868746612	0.82430380756682
g5	g10	-0.0100311061500055	0.78558241274852
g10	g5	-0.0100311061500055	0.785582412748519
g11	g9	-0.0124038210646652	0.736564809812083
g9	g11	-0.0124038210646652	0.736564809812083
g8	g4	-0.0126556154590278	0.731421387721875
g4	g8	-0.0126556154590278	0.731421387721874
g9	g3	-0.0177004246803095	0.631174056688472
g3	g9	-0.0177004246803095	0.631174056688472
g7	g2	-0.0248284040502432	0.500659282056684
g2	g7	-0.0248284040502432	0.500659282056684
g9	g5	-0.0250794331236093	0.496337382144649
g5	g9	-0.0250794331236093	0.496337382144648
g11	g2	-0.0269287023038453	0.465120215495449
g2	g11	-0.0269287023038453	0.465120215495449
g2	g10	-0.0303688277945591	0.410055564514644
g10	g2	-0.0303688277945592	0.410055564514643
g2	g9	-0.0320270456401812	0.38495666139492
g9	g2	-0.0320270456401813	0.38495666139492
g7	g6	-0.0320892113650207	0.384034316438256
g6	g7	-0.0320892113650207	0.384034316438256
g7	g4	-0.056447406958471	0.125502354591395
g4	g7	-0.056447406958471	0.125502354591395
g3	g10	-0.0595409531567603	0.106053017636231
g10	g3	-0.0595409531567603	0.106053017636231
g9	g6	-0.0639229682398707	0.0826748010756376
g6	g9	-0.0639229682398707	0.0826748010756376
g8	g2	-0.0658840085356847	0.0736591010988624
g2	g8	-0.0658840085356847	0.0736591010988623
g3	g8	-0.0675116194670901	0.0668004953251152
g8	g3	-0.0675116194670901	0.0668004953251151
g11	g4	-0.0695805267867633	0.058848755786124
g4	g11	-0.0695805267867633	0.0588487557861238
g3	g11	-0.0794931492201628	0.0308284066769832
g11	g3	-0.0794931492201628	0.0308284066769832
g7	g3	-0.103522392633253	0.00487612750959139
g3	g7	-0.103522392633253	0.00487612750959137
g5	g3	-0.141802934504949	0.000110971463821231
g3	g5	-0.141802934504949	0.000110971463821231
g5	g1	-0.174840959859294	1.76555050462879e-06
g1	g5	-0.174840959859294	1.76555050462879e-06
g6	g2	-0.18168699492527	6.73746498712875e-07
g2	g6	-0.18168699492527	6.73746498712867e-07
g6	g5	-0.183677321207613	5.05658007299305e-07
g5	g6	-0.183677321207613	5.05658007299305e-07
g1	g6	-0.190636031850081	1.80869711665159e-07
g6	g1	-0.190636031850081	1.80869711665157e-07
g5	g2	-0.198443311257604	5.45038766483025e-08
g2	g5	-0.198443311257604	5.45038766483021e-08
g4	g3	-0.244373103947596	1.69994482782508e-11
g3	g4	-0.244373103947596	1.69994482782504e-11
g4	g5	-0.255353334457099	1.89113342915997e-12
g5	g4	-0.255353334457099	1.89113342915994e-12
g4	g2	-0.263348644965158	3.5744795437034e-13
g2	g4	-0.263348644965158	3.57447954370332e-13
g3	g2	-0.266604575812812	1.7843162553091e-13
g2	g3	-0.266604575812812	1.7843162553091e-13
g6	g3	-0.298200632917067	1.27108230951967e-16
g3	g6	-0.298200632917067	1.27108230951967e-16
g4	g1	-0.33213411511782	1.82688102076288e-20
g1	g4	-0.33213411511782	1.8268810207628e-20
g1	g3	-0.565713575598469	1.17573552718879e-63
g3	g1	-0.565713575598469	1.17573552718872e-63
