Gene1	Gene2	EdgeWeight
g4	g1	54.21376763828879
g3	g7	46.1546790952425
g4	g2	35.9205396183357
g4	g10	32.7172899688823
g4	g11	27.4278862870618
g7	g7	21.6863501087565
g4	g7	18.652710413217
g4	g6	18.5233151973878
g6	g1	18.5156470193642
g4	g8	17.35321037665
g4	g3	15.510905124140502
g5	g6	13.071125319937
g7	g1	12.572157817977299
g3	g3	12.2124217836779
g3	g1	11.754183655850301
g7	g3	11.2604344928576
g4	g4	11.028211741174701
g9	g7	10.4681378045227
g3	g5	9.65718981788447
g5	g11	9.45999843651226
g3	g11	8.8546113346102
g4	g5	8.403244211373169
g3	g10	8.396297009280799
g10	g7	8.08609603376957
g8	g11	7.1279579444884416
g7	g6	6.8804286355815805
g8	g8	6.723337381091699
g3	g8	6.61536605123408
g5	g8	6.4340111019445585
g3	g4	6.34021337954359
g6	g2	5.461196190092831
g10	g11	5.38270792621974
g6	g8	5.26249695306862
g5	g2	5.21001750451801
g5	g4	5.14296794936585
g6	g6	5.11852782638387
g9	g11	5.099236993241389
g7	g4	5.03610049036389
g5	g10	4.621254855626759
g8	g10	4.48579404454084
g3	g2	4.4828868644782505
g5	g3	4.3962110845937215
g9	g9	4.3872914371334
g7	g2	4.21827095772286
g10	g2	4.1412144299599305
g9	g10	4.09096565894281
g3	g6	4.02579071398142
g11	g7	3.94294157523776
g11	g1	3.84296513765672
g6	g11	3.82909733342176
g8	g9	3.82673398197433
g6	g9	3.6755899236973
g8	g7	3.59839733757514
g7	g10	3.5180381463249804
g10	g1	3.33643360944206
g3	g9	3.28903759639319
g5	g1	3.20519566405494
g7	g5	3.02140925834192
g8	g3	2.59360807548875
g9	g3	2.52069380776208
g1	g7	2.45717561768892
g8	g1	2.45379480034169
g5	g5	2.33324660096517
g7	g11	2.26030294176605
g5	g7	2.22339619898034
g9	g1	2.20984757679873
g11	g11	2.11982121342455
g10	g5	2.04408289874428
g8	g6	2.03905999636114
g2	g2	1.7840717839941105
g1	g1	1.7618074780535802
g11	g3	1.65244253188708
g7	g8	1.6335156412829
g9	g5	1.63244869388896
g9	g8	1.59781380246071
g6	g7	1.52554596936082
g6	g3	1.47330856072271
g11	g6	1.38149906694242
g10	g10	1.25568256121823
g8	g5	1.24444016087898
g7	g9	1.20146910638421
g10	g6	1.18700678767993
g2	g9	1.12748364126943
g5	g9	1.11449334750635
g10	g9	1.11126276133831
g2	g8	1.08450207534957
g10	g8	1.00836732348878
g1	g3	0.830147404915548
g2	g11	0.801035801066653
g2	g3	0.7610654578010749
g8	g4	0.7118687040805659
g1	g2	0.684870448713426
g11	g2	0.644046095580794
g11	g4	0.6196122860375229
g2	g7	0.603377208172384
g11	g9	0.5777714515952079
g11	g5	0.574843045809886
g2	g6	0.531555852008064
g6	g10	0.4842115295999021
g1	g4	0.467390442123813
g9	g4	0.456240683207656
g10	g4	0.453981811017321
g1	g5	0.447271021370014
g10	g3	0.441617671396616
g11	g10	0.441229317258733
g6	g5	0.38341796329276
g1	g8	0.352335329926466
g1	g6	0.351098170186461
g2	g1	0.349334185046103
g6	g4	0.33503426417090004
g1	g9	0.325513838632721
g2	g5	0.24980437476371
g9	g6	0.241671459383985
g2	g4	0.231271520962031
g9	g2	0.221060451252043
g1	g11	0.220506974682118
g2	g10	0.207598795208875
g8	g2	0.135639859276857
g11	g8	0.0664952872453168
g1	g10	0.0401068536312787
g4	g9	0.000857310688401706
