Gene1	Gene2	EdgeWeight
g8	g4	-0.5481419881840691
g8	g5	-0.4928812903687535
g6	g4	0.1801769243202339
g5	g4	-0.1743621115766101
g7	g2	0.1666205505514278
g11	g5	0.1459467954237918
g2	g3	0.1194451580137729
g4	g5	-0.1162405150501189
g7	g4	0.1141318618132443
g7	g5	0.1138570819374051
g6	g5	0.1114315864332749
g4	g6	0.1050899589437899
g10	g5	0.0844488480043496
g9	g2	0.072535149093641
g3	g4	0.0703232825943962
g10	g3	0.0663481049732811
g8	g1	-0.0649280382800155
g1	g2	0.0636951017428765
g9	g5	-0.0630398544228172
g7	g6	-0.0599374907334339
g8	g2	0.0598589162696951
g3	g5	0.0588113883946482
g7	g1	-0.0573203341545261
g9	g1	0.056826990314172
g9	g4	0.050118410379625
g10	g4	-0.0454401853432553
g11	g2	0.0403287734879681
g11	g1	-0.0399031315173778
g10	g6	0.0390841776642551
g7	g3	-0.0336187273873469
g9	g6	0.0302071521227874
g8	g6	0.029511103661706
g5	g6	0.0289478755605203
g5	g2	0.0258798302333066
g11	g3	-0.0256757650951195
g11	g6	0.0240792122490372
g6	g3	-0.0227323554253527
g9	g3	0.0222521757072605
g2	g1	0.0192226513790327
g6	g1	-0.0158303862315065
g5	g3	0.0135245883124925
g1	g4	0.0133798651357528
g1	g3	0.0120426114987815
g3	g6	-0.0106244632279808
g3	g1	-0.0093422509151793
g1	g5	-0.0077690220465488
g8	g3	0.0075976338279055
g4	g2	0.0073765400292434
g2	g5	0.0059219083122485
g8	g7	0.005804118986546
g9	g10	0.0056534165682894
g5	g7	0.0055548683493746
g1	g6	-0.0053229579757287
g6	g8	0.0044254665539462
g10	g1	0.004253671956209
g7	g11	-0.0042026103063046
g9	g11	0.0033321207895442
g5	g1	-0.0032364076550161
g8	g11	-0.0031919497499196
g10	g11	0.003104589790163
g8	g10	-0.0030327047558404
g10	g2	-0.0028213310509055
g2	g4	-0.0027369070692668
g9	g8	-0.0025675571865063
g11	g9	-0.0024872030551498
g4	g1	-0.0024271184491496
g11	g4	-0.0021590109280248
g6	g9	-0.0020770705009488
g10	g8	0.001762675862287
g4	g3	-0.0016913048149902
g8	g9	-0.001675930872333
g10	g7	0.00158856779563
g10	g9	0.0015728943108399
g7	g9	0.0015259124501241
g6	g10	0.0014131909827562
g11	g10	-0.0012550757263354
g7	g8	-0.0011873789582087
g11	g7	-0.0010874870001759
g11	g8	-0.001080126684345
g6	g11	0.0010798794270886
g5	g8	0.0009346086281234
g3	g2	-0.0009155152887819
g5	g9	-0.0008251787015844
g6	g7	0.0007054358156019
g1	g9	0.0006246555909994
g5	g10	0.0005705634267107
g4	g7	0.0005632108914336
g5	g11	0.0005368262246339
g3	g9	0.0004362061245698
g7	g10	0.0004233230751732
g4	g10	-0.0004104404065537
g4	g11	-0.0003613385429896
g3	g7	-0.0003455345472148
g2	g9	-0.0003452142878259
g4	g8	-0.0003176138243575
g1	g11	-0.000241453931556
g2	g6	-0.0002285008815695
g3	g11	0.0002080784387974
g1	g7	-0.0001849677188212
g3	g8	0.0001612419465186
g2	g8	-0.0001272014516948
g9	g7	0.0001224102325188
g1	g10	9.180773263469496e-05
g1	g8	-8.778880036119605e-05
g3	g10	8.737146453298195e-05
g6	g2	5.928284607230181e-05
g2	g7	5.817524807208239e-05
g2	g11	-3.688274020820911e-05
g2	g10	3.588773965871443e-05
g4	g9	-3.524351974295977e-05
g11	g11	0.0
g6	g6	0.0
g2	g2	0.0
g3	g3	0.0
g4	g4	0.0
g5	g5	0.0
g7	g7	0.0
g8	g8	0.0
g9	g9	0.0
g10	g10	0.0
g1	g1	0.0
