Gene1	Gene2	EdgeWeight
g2	g3	0.654319906951689
g11	g2	0.555121706635325
g2	g11	0.555121706635325
g3	g2	0.48411789560338
g11	g3	0.479255988271
g2	g10	0.476488459572589
g10	g3	0.45621206718986695
g3	g10	0.45621206718986695
g8	g3	0.440769784122506
g3	g8	0.440769784122506
g2	g8	0.413617864239394
g8	g2	0.3958166030173879
g10	g2	0.39126351948102006
g11	g10	0.39083762708711994
g2	g9	0.382224111082557
g9	g2	0.377060894501698
g11	g8	0.37303263972944395
g3	g11	0.36038593662760204
g11	g9	0.33391086612356896
g9	g3	0.33179976049812
g3	g9	0.33179976049812
g8	g11	0.321566983458645
g10	g11	0.31104011417286104
g10	g8	0.30419555472493104
g9	g11	0.301653168170329
g8	g10	0.28317723198490996
g9	g10	0.26763774099125104
g8	g9	0.266199775694206
g10	g9	0.263185166468447
g9	g8	0.251805498367302
g3	g4	0.20939477507091
g1	g10	0.19940651924620897
g1	g2	0.197789048726464
g11	g1	0.19497989446501798
g1	g11	0.190404497406721
g10	g5	0.18855601164102498
g2	g4	0.18415781922596
g7	g11	0.17426775946289402
g6	g11	0.172618897021809
g6	g10	0.170977750446475
g5	g7	0.170591701541978
g2	g1	0.169982772085822
g8	g5	0.166389165489776
g6	g9	0.166239799462734
g4	g9	0.16412232861395598
g10	g7	0.163821453082066
g9	g4	0.162662719308047
g1	g8	0.162380717782197
g6	g4	0.16209461242373902
g4	g6	0.161781330193841
g1	g3	0.16177829754515602
g9	g5	0.16098800889219
g6	g3	0.159986382203389
g10	g1	0.158336515095889
g1	g9	0.15820919897124402
g1	g6	0.15743048864445
g8	g4	0.157305033606988
g5	g6	0.15682434058231198
g4	g11	0.15666167959306196
g7	g4	0.15663068979355
g10	g4	0.155488892812062
g3	g5	0.15392880347287302
g11	g7	0.153836617400677
g7	g1	0.15356041470860698
g7	g5	0.152771156811301
g7	g2	0.152362892551046
g7	g8	0.15200402339704
g7	g6	0.152003098379754
g2	g7	0.15132623923212699
g11	g5	0.15062850489201002
g4	g10	0.149761136038638
g6	g2	0.14974126919916
g11	g6	0.149408976878316
g6	g5	0.148465140262795
g6	g8	0.148006834057815
g9	g7	0.14794727410752698
g5	g1	0.146165259877736
g8	g7	0.14396611808430598
g8	g6	0.14392367225059302
g3	g1	0.14339168291472199
g2	g5	0.14296575217373
g3	g6	0.14272181405002698
g11	g4	0.14233155478186402
g10	g6	0.14188265863935298
g9	g1	0.141659330150648
g1	g5	0.141066625156416
g5	g4	0.14031108061438
g4	g7	0.14000227703768
g8	g1	0.13924773047713002
g7	g10	0.13868084957040197
g2	g6	0.137523561551861
g4	g2	0.135033935209901
g6	g1	0.13451051591121502
g6	g7	0.134260157315944
g5	g8	0.132301003744035
g4	g5	0.12898903927379
g1	g7	0.127324748098196
g5	g2	0.12587060187913499
g5	g10	0.125279248676615
g4	g1	0.124080508263702
g5	g3	0.123327308285195
g4	g8	0.121775907981779
g7	g9	0.12120757749060301
g3	g7	0.12075780044781698
g5	g9	0.12054237324704402
g7	g3	0.114846513217078
g1	g4	0.11363530156605302
g5	g11	0.11252869861887699
g9	g6	0.10939326734532699
g4	g3	0.09814359329535302
