Gene1	Gene2	EdgeWeight
g1	g1	1.0
g9	g9	1.0
g8	g5	1.0
g3	g2	1.0
g2	g2	1.0
g2	g3	1.0
g8	g8	1.0
g3	g3	1.0
g1	g10	1.0
g6	g10	1.0
g7	g10	1.0
g10	g10	1.0
g1	g11	1.0
g2	g11	1.0
g5	g5	0.999999
g4	g4	0.999999
g2	g8	0.9999979999999999
g2	g5	0.9999950000000001
g2	g1	0.999992
g9	g4	0.99998
g1	g2	0.999967
g6	g6	0.999958
g2	g7	0.9999319999999999
g3	g11	0.999767
g10	g1	0.999605
g3	g5	0.9993270000000001
g1	g4	0.9992280000000001
g10	g6	0.9990620000000001
g9	g5	0.9989889999999999
g8	g7	0.998466
g7	g9	0.998081
g11	g1	0.9955790000000001
g4	g9	0.994181
g8	g6	0.9872559999999999
g11	g11	0.980973
g2	g4	0.979419
g10	g9	0.969426
g9	g8	0.9450149999999999
g11	g3	0.9177649999999999
g7	g7	0.9086930000000001
g8	g4	0.8987870000000001
g9	g7	0.898658
g5	g7	0.883727
g8	g11	0.864994
g11	g2	0.843648
g7	g1	0.788488
g8	g3	0.782262
g10	g4	0.749219
g5	g9	0.740557
g1	g7	0.7382310000000001
g5	g6	0.716615
g6	g1	0.656242
g3	g7	0.652225
g2	g9	0.6014470000000001
g9	g2	0.528439
g7	g6	0.4794
g3	g9	0.469732
g10	g7	0.46956800000000004
g5	g3	0.42416899999999996
g9	g6	0.414075
g5	g8	0.370184
g3	g6	0.349632
g6	g2	0.288781
g9	g10	0.27477399999999996
g2	g10	0.257302
g6	g5	0.253089
g1	g3	0.237154
g9	g3	0.224133
g3	g1	0.19558399999999998
g10	g2	0.17031500000000002
g10	g11	0.170019
g6	g8	0.168799
g2	g6	0.165232
g3	g8	0.164164
g1	g9	0.163214
g6	g9	0.14886
g3	g4	0.144827
g1	g5	0.130381
g8	g9	0.128505
g11	g8	0.121929
g1	g6	0.119929
g6	g3	0.115397
g9	g1	0.11187799999999999
g4	g3	0.10970999999999999
g11	g5	0.103968
g4	g6	0.10328299999999999
g4	g5	0.10308800000000001
g7	g2	0.101712
g1	g8	0.10160599999999999
g5	g10	0.09092599999999999
g7	g3	0.089918
g8	g2	0.089512
g7	g5	0.086535
g5	g2	0.086285
g5	g4	0.085861
g6	g11	0.077968
g6	g7	0.075528
g11	g9	0.07283400000000001
g11	g7	0.07239
g4	g10	0.063712
g11	g4	0.044826
g7	g4	0.043200999999999996
g4	g1	0.039858
g10	g5	0.03846
g11	g10	0.038084
g10	g3	0.036091000000000005
g8	g1	0.034456
g8	g10	0.030737999999999998
g11	g6	0.023429
g7	g8	0.021125
g5	g11	0.020449000000000002
g10	g8	0.015555000000000001
g9	g11	0.013733
g5	g1	0.01289
g4	g7	0.012843
g4	g11	0.0057280000000000005
g7	g11	0.005703
g4	g2	0.0030440000000000003
g6	g4	0.003
g4	g8	0.0
g3	g10	0.0
