Gene1	Gene2	EdgeWeight
g1	g1	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g5	g5	1.0
g6	g6	1.0
g7	g7	1.0
g8	g8	1.0
g9	g9	1.0
g10	g10	1.0
g11	g11	1.0
g1	g10	-0.400129136965992
g10	g1	-0.400129136965992
g7	g6	-0.393164028705128
g6	g7	-0.393164028705128
g9	g7	-0.36206938351911
g7	g9	-0.36206938351910906
g6	g9	-0.354007951243041
g9	g6	-0.354007951243041
g9	g10	0.325714700001082
g10	g9	0.325714700001082
g5	g9	-0.23859604226615197
g9	g5	-0.23859604226615197
g9	g3	-0.23780856244652598
g3	g9	-0.23780856244652598
g1	g9	-0.23671412841737502
g9	g1	-0.23671412841737502
g8	g5	-0.222314208701302
g5	g8	-0.222314208701302
g9	g4	-0.21142729710126804
g4	g9	-0.21142729710126804
g7	g5	0.206633934952656
g5	g7	0.206633934952656
g2	g9	-0.156460449558086
g9	g2	-0.156460449558086
g8	g7	-0.15336994574416302
g7	g8	-0.15336994574416302
g8	g2	-0.149876419430819
g2	g8	-0.149876419430819
g6	g2	-0.146583094386059
g2	g6	-0.146583094386059
g5	g6	-0.142024233109957
g6	g5	-0.142024233109957
g4	g7	-0.13639224120938198
g7	g4	-0.13639224120938198
g2	g7	-0.131306346129661
g7	g2	-0.13130634612966002
g5	g4	-0.12939348580760301
g4	g5	-0.12939348580760301
g4	g8	-0.127862573752853
g8	g4	-0.127862573752853
g8	g1	-0.12586204270195
g1	g8	-0.125862042701949
g4	g2	-0.109967087610343
g2	g4	-0.109967087610343
g11	g2	0
g2	g11	0
g11	g10	0
g10	g11	0
g5	g10	0
g10	g5	0
g9	g8	0
g8	g9	0
g5	g11	0
g11	g5	0
g2	g1	0
g1	g2	0
g3	g11	0
g11	g3	0
g6	g4	0
g4	g6	0
g6	g11	0
g11	g6	0
g3	g10	0
g10	g3	0
g5	g1	0
g1	g5	0
g11	g1	0
g1	g11	0
g6	g8	0
g8	g6	0
g9	g11	0
g11	g9	0
g7	g11	0
g11	g7	0
g10	g8	0
g8	g10	0
g4	g11	0
g11	g4	0
g8	g11	0
g11	g8	0
g2	g10	0
g10	g2	0
g7	g1	0
g1	g7	0
g6	g1	0
g1	g6	0
g3	g1	0
g1	g3	0
g4	g10	0
g10	g4	0
g7	g10	0
g10	g7	0
g3	g5	0
g5	g3	0
g3	g8	0
g8	g3	0
g2	g3	0
g3	g2	0
g3	g6	0
g6	g3	0
g7	g3	0
g3	g7	0
g1	g4	0
g4	g1	0
g6	g10	0
g10	g6	0
g2	g5	0
g5	g2	0
g3	g4	0
g4	g3	0
