Gene1	Gene2	EdgeWeight
g6	g3	23.715132179196896
g4	g3	21.3153058016786
g7	g3	14.954485432543098
g8	g3	14.756545731277198
g5	g3	11.7657801201486
g9	g1	10.7257505746713
g9	g3	10.2640846492984
g6	g1	9.85018877865017
g4	g1	9.347380033918249
g8	g8	7.99511443146624
g6	g6	7.46533344328041
g1	g3	7.20145308787366
g11	g1	7.15668191484308
g4	g8	7.103154452737121
g10	g1	6.49528459668951
g10	g3	6.32240010634829
g7	g1	6.25005446587455
g6	g10	6.178658074186469
g6	g11	6.135222280955619
g9	g8	5.60822809771065
g5	g5	5.5783020238826
g6	g9	5.3289042201730705
g11	g11	5.2490420037395396
g6	g8	5.20079444367733
g9	g9	5.02559833552453
g6	g2	4.69668542050932
g5	g2	4.67093767555337
g8	g1	4.44208739875371
g11	g2	4.43880118235816
g8	g2	4.363963490520709
g6	g5	4.08632682433289
g4	g5	3.9470262330536605
g11	g3	3.89094304177526
g1	g1	3.8865516847773796
g10	g11	3.87234973143388
g9	g10	3.70269533253578
g10	g9	3.45205658868411
g9	g5	3.4442001829052598
g4	g4	3.23649258624974
g4	g11	3.03511941891007
g5	g9	2.9137323390383
g7	g7	2.66932536219292
g4	g10	2.6237259187472204
g6	g7	2.6050640433538503
g7	g10	2.57284354312698
g7	g8	2.48829489927089
g3	g3	2.32008528149948
g5	g8	2.30620465734305
g4	g7	2.03380618524008
g10	g10	2.02564979791695
g4	g6	2.0002347070613404
g9	g2	1.9426441472008202
g11	g10	1.9370993039034
g9	g6	1.8920819568578702
g6	g4	1.8790700030090002
g8	g5	1.6086962777857599
g1	g7	1.5726003661510601
g10	g4	1.4772589603877
g10	g7	1.46965831511242
g2	g3	1.4416154643653403
g9	g4	1.417871880873
g5	g4	1.4007563532800702
g1	g8	1.3705407705369699
g1	g5	1.29891907238291
g5	g1	1.2682724081866998
g8	g9	1.25110546328452
g7	g2	1.20327878800673
g5	g11	1.19621429837719
g11	g7	1.1961288342094198
g8	g4	1.11286237871999
g8	g10	1.05944150607001
g3	g2	1.0194019702663601
g10	g8	0.9459128282798341
g1	g9	0.921126608387817
g1	g11	0.905111170991985
g9	g7	0.893533432736595
g10	g2	0.887021401886627
g2	g1	0.8706641826022321
g11	g5	0.852910486577321
g8	g6	0.8326461899224029
g4	g9	0.774916872007446
g1	g6	0.768787610884655
g5	g10	0.753066256074938
g9	g11	0.739604445936882
g3	g1	0.7389467635926709
g5	g6	0.720329755182992
g7	g6	0.6993194655733709
g8	g7	0.662833856535581
g11	g8	0.6437175033412329
g11	g6	0.634278220419258
g5	g7	0.6221413085460841
g2	g2	0.5980050894037441
g10	g6	0.594254896018654
g8	g11	0.592893934672411
g2	g8	0.5871561905367719
g1	g10	0.584559756534923
g7	g5	0.578410481385742
g3	g8	0.515043454233941
g1	g2	0.47726484378498396
g3	g10	0.47311644978241896
g2	g10	0.466905459445075
g2	g7	0.46164267257472297
g1	g4	0.395715773302625
g7	g11	0.358287677011761
g10	g5	0.31485589217128
g2	g6	0.305355792825226
g3	g5	0.29014951232017794
g3	g9	0.277317273680904
g2	g5	0.268058292122255
g3	g7	0.254699415743702
g7	g9	0.22666646070858804
g11	g9	0.20854541620780398
g3	g11	0.16053307016686402
g11	g4	0.157237200158323
g7	g4	0.0886905708369351
g2	g9	0.079136244908392
g3	g4	0.0733186500705333
g2	g4	0.0699882033045962
g4	g2	0.0125136967338451
g2	g11	0.009507808977714421
g3	g6	0.00331160203808527
