Gene1	Gene2	EdgeWeight
g10	g1	1.31212323493477
g4	g9	1.1953004310656001
g5	g4	1.14010832881292
g4	g4	1.0
g1	g1	0.8333435659843041
g3	g1	0.832136331557675
g9	g3	0.697938772756638
g3	g11	0.65417020786769
g8	g4	0.512551526606949
g7	g11	0.429735993130452
g1	g11	0.42274421695439396
g10	g11	0.40799648192035104
g9	g6	0.390812925861853
g2	g11	0.37436595554627294
g9	g9	0.35081882138626597
g4	g6	0.307988167291711
g6	g3	0.266091608384189
g8	g6	0.24993851991577598
g11	g1	0.23761940386300198
g3	g6	0.2306591466457
g4	g3	0.132187653947034
g11	g10	0.0307334310896264
g6	g6	0.0307272507885409
g10	g10	0.0162070115829549
g11	g3	0.0125268110079763
g5	g11	0.0116591749262814
g3	g10	0.0105429412535271
g1	g10	0.0102063870885797
g8	g9	0.0101308929852056
g9	g10	8.08173152344433e-05
g8	g5	1.1903403883330098e-35
g5	g5	5.8765283269322394e-36
g9	g8	5.11647201109529e-36
g10	g2	4.8733223247547595e-36
g9	g7	4.8690647470740096e-36
g8	g7	3.47014389723878e-36
g5	g8	3.2598784125140096e-36
g3	g7	2.96754649768547e-36
g4	g8	2.52741927764979e-36
g1	g2	1.93536071091177e-36
g6	g8	1.4468216822171998e-36
g5	g7	9.789971840715508e-37
g3	g2	9.15201255799445e-37
g8	g8	7.75337534142908e-37
g9	g5	6.93456789986191e-37
g2	g5	3.6599067127545096e-37
g7	g7	0.0
g10	g8	0.0
g7	g8	0.0
g3	g8	0.0
g2	g8	0.0
g1	g8	0.0
g11	g7	0.0
g10	g7	0.0
g6	g7	0.0
g1	g9	0.0
g4	g7	0.0
g2	g7	0.0
g1	g7	0.0
g11	g6	0.0
g10	g6	0.0
g7	g6	0.0
g5	g6	0.0
g11	g8	0.0
g3	g9	0.0
g2	g9	0.0
g5	g9	0.0
g9	g11	0.0
g8	g11	0.0
g6	g11	0.0
g4	g11	0.0
g8	g10	0.0
g7	g10	0.0
g6	g10	0.0
g5	g10	0.0
g4	g10	0.0
g2	g10	0.0
g11	g9	0.0
g10	g9	0.0
g7	g9	0.0
g6	g9	0.0
g1	g6	0.0
g2	g6	0.0
g11	g2	0.0
g11	g5	0.0
g3	g3	0.0
g1	g3	0.0
g9	g2	0.0
g8	g2	0.0
g7	g2	0.0
g6	g2	0.0
g5	g2	0.0
g4	g2	0.0
g2	g2	0.0
g9	g1	0.0
g8	g1	0.0
g7	g1	0.0
g6	g1	0.0
g5	g1	0.0
g4	g1	0.0
g2	g1	0.0
g2	g3	0.0
g5	g3	0.0
g10	g5	0.0
g7	g3	0.0
g7	g5	0.0
g6	g5	0.0
g4	g5	0.0
g3	g5	0.0
g1	g5	0.0
g11	g4	0.0
g10	g4	0.0
g9	g4	0.0
g7	g4	0.0
g6	g4	0.0
g3	g4	0.0
g2	g4	0.0
g1	g4	0.0
g10	g3	0.0
g8	g3	0.0
g11	g11	0.0
