Regulator	Target	SINGE_Score
g2	g9	6
g2	g7	1.5
g2	g4	0.66666
g3	g7	0.375
g3	g9	0.24
g2	g6	0.16666
g1	g10	0.12244
g3	g6	0.09375
g3	g5	0.07407
g1	g4	0.06
g1	g7	0.04958
g8	g5	0.04166
g1	g5	0.0355
g3	g8	0.03061
g8	g7	0.02343
g2	g8	0.02076
g1	g6	0.01851
g1	g9	0.01662
g3	g11	0.015
g11	g10	0.01239
g8	g6	0.01134
g11	g5	0.01041
g11	g9	0.0096
g11	g6	0.00887
g10	g5	0.00823
g11	g4	0.00765
g1	g8	0.00713
g8	g4	0.00624
g5	g7	0.00585
g3	g1	0.0055
g4	g7	0.00489
g1	g11	0.00462
g8	g9	0.00438
g3	g4	0.00415
g2	g5	0.0034
g4	g9	0.00324
g10	g6	0.00296
g5	g9	0.00283
g11	g7	0.00271
g10	g4	0.00249
g5	g8	0.0024
g7	g9	0.0023
g5	g11	0.00221
g9	g4	0.00213
g6	g10	0.00205
g4	g10	0.00198
g6	g4	0.00191
g5	g10	0.00184
g7	g5	0.00178
g8	g11	0.00172
g11	g8	0.00166
g10	g11	0.00161
g4	g11	0.00151
g7	g10	0.00146
g9	g10	0.00142
g9	g8	0.00133
g6	g5	0.00129
g8	g10	0.00126
g5	g6	0.00122
g2	g10	0.00119
g7	g6	0.00115
g4	g1	0.00112
g7	g4	0.00109
g7	g1	0.00106
g8	g1	0.00103
g9	g11	0.00101
g6	g7	0.00098
g2	g1	0.00096
