TF	target	importance
x_g1	x_g5	0.5748041080011456
x_g2	x_g6	0.5057717137664479
x_g5	x_g1	0.49821607717610705
x_g6	x_g2	0.4966340497989739
x_g2	x_g3	0.3894744446202861
x_g2	x_g4	0.25905453483724333
x_g1	x_g4	0.25666915002140767
x_g4	x_g3	0.22985476528615953
x_g3	x_g2	0.22918709572479345
x_g3	x_g4	0.22015961889687125
x_g6	x_g1	0.1727110321128672
x_g3	x_g6	0.16691537562278635
x_g1	x_g6	0.16690041449530646
x_g6	x_g3	0.1601397997311727
x_g2	x_g1	0.15733181141404845
x_g5	x_g4	0.15459630896823917
x_g6	x_g5	0.14019338566602596
x_g1	x_g2	0.1381069399068709
x_g4	x_g5	0.12704357813073305
x_g4	x_g1	0.11794959873923032
x_g1	x_g3	0.1174959190945645
x_g6	x_g4	0.10952038727623857
x_g5	x_g6	0.10712966662981084
x_g2	x_g5	0.10664738912400142
x_g5	x_g3	0.10303507126781732
x_g4	x_g2	0.07407118253077076
x_g5	x_g2	0.062000732038590946
x_g3	x_g1	0.053791480557746935
x_g4	x_g6	0.05328282948564843
x_g3	x_g5	0.051311539078093917
