Gene1	Gene2	EdgeWeight
g1	g5	0.5699233340972196
g2	g6	0.5292823627517259
g5	g1	0.5117710236022064
g6	g2	0.5056419292968151
g2	g3	0.3825453039593354
g1	g4	0.26035472285475697
g2	g4	0.2562764381881166
g4	g3	0.23381088755648735
g3	g2	0.231040027900264
g3	g4	0.2246129032256852
g2	g1	0.16182589465520972
g6	g3	0.1586474309509924
g3	g6	0.1571626147949199
g6	g1	0.15691994872579426
g1	g6	0.15565934425053052
g5	g4	0.1536895530877526
g6	g5	0.1505064007561958
g1	g2	0.13408796008475465
g4	g5	0.12199603615306663
g1	g3	0.11663865056586248
g4	g1	0.11534692679169475
g5	g3	0.1083577269673222
g2	g5	0.10646428988669412
g5	g6	0.10508160456049068
g6	g4	0.10506638264368873
g4	g2	0.0682865691608747
g5	g2	0.06094351355729171
g3	g1	0.05413620622509485
g4	g6	0.05281407364233301
g3	g5	0.05110993910682368
