TF	target	importance
g1	g5	392.98110737039366
g5	g1	298.16455767045835
g6	g2	215.45564326119413
g2	g6	214.7105424982949
g2	g4	161.37337259866123
g2	g3	159.28919340636554
g1	g4	131.19118401124575
g3	g2	129.91358582670873
g5	g4	109.28704203444366
g2	g1	107.88425312420826
g3	g4	106.2104976923216
g6	g1	106.05659192768783
g6	g5	96.28959650274635
g4	g1	92.16491085521447
g4	g5	90.34872043557135
g6	g3	88.67251021959572
g4	g3	88.22849987799135
g1	g6	87.67374518457589
g3	g6	86.61791211080993
g6	g4	82.93790366332772
g1	g2	74.7846031406026
g2	g5	62.82126011777779
g1	g3	54.77729765161829
g5	g3	51.03249884442907
g5	g6	50.670940583881844
g5	g2	50.0600619214183
g4	g2	48.786105850076225
g4	g6	29.326859622437365
g3	g1	28.72968642243108
g3	g5	27.559315573510876
