Parent	Type	Child	Weight	Probability	Score
x_g1	+	x_g1	0.447357	1.000000	0.551605
x_g2	+	x_g1	0.081242	0.106471	0.010666
x_g3	-	x_g1	-0.212563	0.968593	-0.253865
x_g4	+	x_g1	0.045761	0.050219	0.002834
x_g5	-	x_g1	-0.649867	1.000000	-0.801307
x_g6	-	x_g1	-0.082986	0.111059	-0.011364
x_g1	+	x_g2	0.472868	1.000000	0.583061
x_g2	+	x_g2	0.646649	1.000000	0.797338
x_g3	+	x_g2	0.016419	0.012668	0.000256
x_g4	-	x_g2	-0.077351	0.068399	-0.006524
x_g5	+	x_g2	0.530449	1.000000	0.654060
x_g6	-	x_g2	-0.106529	0.052378	-0.006880
x_g1	-	x_g3	-0.543949	1.000000	-0.670706
x_g2	+	x_g3	0.134394	0.160114	0.026533
x_g3	+	x_g3	0.549217	1.000000	0.677202
x_g4	+	x_g3	0.344745	0.999997	0.425081
x_g5	-	x_g3	-0.464797	1.000000	-0.573109
x_g6	+	x_g3	0.274760	0.967191	0.327672
x_g1	-	x_g4	-0.348458	1.000000	-0.429659
x_g2	+	x_g4	0.132773	0.196264	0.032131
x_g3	+	x_g4	0.287725	0.999769	0.354691
x_g4	+	x_g4	0.643311	1.000000	0.793223
x_g5	+	x_g4	0.038554	0.039506	0.001878
x_g6	+	x_g4	0.069286	0.075924	0.006486
x_g1	-	x_g5	-0.285128	0.999993	-0.351570
x_g2	-	x_g5	-0.121824	0.522502	-0.078487
x_g3	-	x_g5	-0.024614	0.031252	-0.000948
x_g4	-	x_g5	-0.005796	0.005285	-0.000038
x_g5	+	x_g5	0.811009	1.000000	1.000000
x_g6	-	x_g5	-0.092787	0.117809	-0.013478
x_g1	-	x_g6	-0.423766	1.000000	-0.522517
x_g2	-	x_g6	-0.105375	0.094404	-0.012266
x_g3	+	x_g6	0.070105	0.069028	0.005967
x_g4	+	x_g6	0.115009	0.151838	0.021532
x_g5	-	x_g6	-0.680805	1.000000	-0.839454
x_g6	+	x_g6	0.551460	1.000000	0.679968
