Gene1	Gene2	EdgeWeight
x_g1	x_g1	1.0
x_g5	x_g2	1.0
x_g5	x_g6	1.0
x_g1	x_g6	1.0
x_g5	x_g5	1.0
x_g4	x_g4	1.0
x_g5	x_g3	1.0
x_g3	x_g3	1.0
x_g1	x_g3	1.0
x_g1	x_g4	1.0
x_g6	x_g6	1.0
x_g2	x_g2	1.0
x_g1	x_g2	1.0
x_g5	x_g1	1.0
x_g4	x_g3	0.9999969999999999
x_g1	x_g5	0.999993
x_g3	x_g4	0.999769
x_g3	x_g1	0.968593
x_g6	x_g3	0.967191
x_g2	x_g5	0.522502
x_g2	x_g4	0.19626400000000002
x_g2	x_g3	0.160114
x_g4	x_g6	0.151838
x_g6	x_g5	0.117809
x_g6	x_g1	0.11105899999999999
x_g2	x_g1	0.10647100000000001
x_g2	x_g6	0.094404
x_g6	x_g4	0.075924
x_g3	x_g6	0.06902799999999999
x_g4	x_g2	0.068399
x_g6	x_g2	0.052377999999999994
x_g4	x_g1	0.050219
x_g5	x_g4	0.039506
x_g3	x_g5	0.031251999999999995
x_g3	x_g2	0.012668
x_g4	x_g5	0.005285
