Gene1	Gene2	Score
x_g6	x_g2	-0.724129166938369
x_g2	x_g6	-0.724129166938369
x_g3	x_g2	-0.71523995614532
x_g2	x_g3	-0.71523995614532
x_g5	x_g1	-0.714510183311828
x_g1	x_g5	-0.714510183311828
x_g5	x_g4	0.677882189850177
x_g6	x_g1	0.657808714009668
x_g1	x_g6	0.657808714009668
x_g6	x_g5	-0.632206745078784
x_g6	x_g3	0.631278564582585
x_g3	x_g6	0.631278564582585
x_g5	x_g3	0.578016184919816
x_g1	x_g4	-0.57405673344636
x_g6	x_g4	-0.571709499090087
x_g3	x_g5	-0.550249167548193
x_g4	x_g3	0.534091392705098
x_g3	x_g4	0.534091392705098
x_g5	x_g6	-0.503381373021059
x_g1	x_g3	-0.475681825541561
x_g2	x_g1	-0.451919673559016
x_g1	x_g2	-0.451919673559016
x_g3	x_g1	0.440139110966703
x_g4	x_g2	-0.438918665277573
x_g2	x_g4	-0.438918665277573
x_g2	x_g5	0.383231979847325
x_g4	x_g5	-0.34690632399865
x_g4	x_g6	0.311585862707713
x_g5	x_g2	-0.207629235812537
x_g4	x_g1	0.203644296489927
