Gene1	Gene2	EdgeWeight
x_g6	x_g2	0.7241291669383689
x_g2	x_g6	0.7241291669383689
x_g3	x_g2	0.71523995614532
x_g2	x_g3	0.71523995614532
x_g5	x_g1	0.714510183311828
x_g1	x_g5	0.714510183311828
x_g5	x_g4	0.677882189850177
x_g6	x_g1	0.6578087140096679
x_g1	x_g6	0.6578087140096679
x_g6	x_g5	0.6322067450787839
x_g6	x_g3	0.6312785645825849
x_g3	x_g6	0.6312785645825849
x_g5	x_g3	0.578016184919816
x_g1	x_g4	0.57405673344636
x_g6	x_g4	0.5717094990900871
x_g3	x_g5	0.550249167548193
x_g4	x_g3	0.534091392705098
x_g3	x_g4	0.534091392705098
x_g5	x_g6	0.503381373021059
x_g1	x_g3	0.475681825541561
x_g2	x_g1	0.45191967355901597
x_g1	x_g2	0.45191967355901597
x_g3	x_g1	0.44013911096670294
x_g4	x_g2	0.438918665277573
x_g2	x_g4	0.438918665277573
x_g2	x_g5	0.383231979847325
x_g4	x_g5	0.34690632399865
x_g4	x_g6	0.31158586270771305
x_g5	x_g2	0.207629235812537
x_g4	x_g1	0.203644296489927
