Gene1	Gene2	EdgeWeight
x_g2	x_g6	1.9357805451291077
x_g6	x_g2	1.9357805451291077
x_g1	x_g5	1.9122182514679469
x_g5	x_g1	1.9122182514679469
x_g3	x_g4	1.7933541062576406
x_g4	x_g3	1.7933541062576406
x_g4	x_g5	1.4177416892044188
x_g5	x_g4	1.4177416892044188
x_g2	x_g3	1.319126549395468
x_g3	x_g2	1.319126549395468
x_g3	x_g6	1.2157253850896852
x_g6	x_g3	1.2157253850896852
x_g1	x_g6	0.9536646584322012
x_g6	x_g1	0.9536646584322012
x_g2	x_g5	0.7088471838402238
x_g5	x_g2	0.7088471838402238
x_g1	x_g2	0.6331813638287003
x_g2	x_g1	0.6331813638287003
x_g1	x_g4	0.6187208936257629
x_g4	x_g1	0.6187208936257629
x_g5	x_g6	0.5374880927909771
x_g6	x_g5	0.5374880927909771
x_g2	x_g4	0.5325186488367485
x_g4	x_g2	0.5325186488367485
x_g3	x_g5	0.4404771799755195
x_g5	x_g3	0.4404771799755195
x_g4	x_g6	0.29522251691676205
x_g6	x_g4	0.29522251691676205
x_g1	x_g3	0.11399464577201475
x_g3	x_g1	0.11399464577201475
