Gene1	Gene2	corVal	pValue
x_g1	x_g1	1	0
x_g2	x_g2	1	0
x_g3	x_g3	1	0
x_g4	x_g4	1	0
x_g5	x_g5	1	0
x_g6	x_g6	1	0
x_g4	x_g3	-0.00844951364723052	0.705975986186608
x_g3	x_g4	-0.00844951364723056	0.705975986186607
x_g6	x_g1	-0.117192830074187	1.51603884764231e-07
x_g1	x_g6	-0.117192830074188	1.51603884764216e-07
x_g6	x_g3	-0.120553577973089	6.58047679429837e-08
x_g3	x_g6	-0.120553577973089	6.58047679429814e-08
x_g4	x_g5	-0.145449137713383	6.62758145087212e-11
x_g5	x_g4	-0.145449137713383	6.62758145087198e-11
x_g6	x_g4	-0.3586040989682	1.24276520555994e-61
x_g4	x_g6	-0.3586040989682	1.24276520555958e-61
x_g6	x_g5	-0.369511098559479	1.31009704795686e-65
x_g5	x_g6	-0.369511098559479	1.3100970479563e-65
x_g5	x_g3	-0.41056585348204	5.09032254292721e-82
x_g3	x_g5	-0.41056585348204	5.09032254292706e-82
x_g1	x_g3	-0.430356223064762	8.54411987169408e-91
x_g3	x_g1	-0.430356223064763	8.54411987169359e-91
x_g4	x_g1	-0.435746797731041	2.74219615020697e-93
x_g1	x_g4	-0.435746797731041	2.74219615020666e-93
x_g2	x_g5	-0.442633900085869	1.5342063964094e-96
x_g5	x_g2	-0.442633900085869	1.53420639640914e-96
x_g2	x_g1	-0.447878475201102	4.55501810552191e-99
x_g1	x_g2	-0.447878475201102	4.55501810552126e-99
x_g4	x_g2	-0.522435706185955	3.30757300357331e-140
x_g2	x_g4	-0.522435706185955	3.30757300357331e-140
x_g3	x_g2	-0.540259842905424	1.18852264363699e-151
x_g2	x_g3	-0.540259842905424	1.18852264363699e-151
x_g6	x_g2	-0.741717128905949	0
x_g2	x_g6	-0.741717128905949	0
x_g5	x_g1	-0.756438429613077	0
x_g1	x_g5	-0.756438429613077	0
