Gene1	Gene2	EdgeWeight
x_g1	x_g1	1.0
x_g2	x_g2	1.0
x_g3	x_g3	1.0
x_g4	x_g4	1.0
x_g5	x_g5	1.0
x_g6	x_g6	1.0
x_g5	x_g1	-0.7564384296130771
x_g1	x_g5	-0.7564384296130771
x_g2	x_g6	-0.7417171289059491
x_g6	x_g2	-0.7417171289059491
x_g2	x_g3	-0.5402598429054241
x_g3	x_g2	-0.5402598429054241
x_g2	x_g4	-0.522435706185955
x_g4	x_g2	-0.522435706185955
x_g1	x_g2	-0.447878475201102
x_g2	x_g1	-0.447878475201102
x_g2	x_g5	-0.442633900085869
x_g5	x_g2	-0.442633900085869
x_g1	x_g4	-0.435746797731041
x_g4	x_g1	-0.435746797731041
x_g3	x_g1	-0.43035622306476295
x_g1	x_g3	-0.43035622306476207
x_g3	x_g5	-0.41056585348203994
x_g5	x_g3	-0.41056585348203994
x_g5	x_g6	-0.36951109855947895
x_g6	x_g5	-0.36951109855947895
x_g4	x_g6	-0.3586040989682
x_g6	x_g4	-0.3586040989682
x_g5	x_g4	-0.145449137713383
x_g4	x_g5	-0.145449137713383
x_g3	x_g6	-0.12055357797308901
x_g6	x_g3	-0.12055357797308901
x_g1	x_g6	-0.117192830074188
x_g6	x_g1	-0.117192830074187
x_g4	x_g3	0
x_g3	x_g4	0
