Gene1	Gene2	EdgeWeight
x_g4	x_g5	10.093516729000902
x_g2	x_g2	9.496681168532039
x_g4	x_g1	8.95036335566258
x_g4	x_g4	8.58863460390783
x_g2	x_g1	6.97200588190164
x_g2	x_g5	6.82778792154112
x_g5	x_g1	5.962607426081519
x_g4	x_g2	5.558338008676669
x_g3	x_g3	4.6665383253734
x_g3	x_g1	4.534009239744821
x_g3	x_g5	4.25974451603086
x_g4	x_g3	3.1230752547944802
x_g6	x_g6	3.0952638614680295
x_g2	x_g6	2.99207922969696
x_g4	x_g6	2.86495360064404
x_g5	x_g4	2.8184581744754498
x_g2	x_g4	2.7993048308584902
x_g3	x_g2	2.55450544072071
x_g3	x_g6	2.48821055750661
x_g6	x_g1	2.4261777716887596
x_g5	x_g2	2.2393778415018
x_g2	x_g3	1.89982596938305
x_g1	x_g5	1.6175526693476598
x_g6	x_g4	1.5879953753189
x_g6	x_g5	1.5395017006612899
x_g1	x_g3	1.26258683269756
x_g6	x_g3	1.09619210075065
x_g5	x_g6	0.750752750727581
x_g1	x_g2	0.7424191604373249
x_g1	x_g6	0.7086739443325021
x_g1	x_g1	0.486833613059605
x_g5	x_g3	0.207023198167626
x_g6	x_g2	0.17021231143844698
x_g5	x_g5	0.14424407279606302
x_g3	x_g4	0.121207989702686
x_g1	x_g4	0.0531301931200983
