Gene1	Gene2	EdgeWeight
g5	g6	0.155885624632274
g5	g2	0.12506319338924102
g5	g1	0.12195435404006001
g4	g2	0.10145678979040901
g2	g6	0.0989927048455676
g3	g2	0.0897018826692902
g1	g5	0.0826864650653467
g5	g3	0.08146439563826
g6	g2	0.08021917681749201
g2	g4	0.0751141684624416
g4	g1	0.07329189949466901
g3	g4	0.0704482156774373
g2	g1	0.0704080870132381
g2	g5	0.0697907121621276
g4	g5	0.0694283381092216
g1	g2	0.0685190371741738
g5	g4	0.0675953568050283
g2	g3	0.0671458993246784
g6	g5	0.0670483793801414
g1	g3	0.0659850663443551
g6	g4	0.0598093868936051
g3	g5	0.059453379618557005
g1	g6	0.0578644764069145
g3	g1	0.0575166664422917
g4	g6	0.0554427136554394
g4	g3	0.0546785039168527
g3	g6	0.0490628843237705
g1	g4	0.0451581603590527
g6	g1	0.0446591617783444
g6	g3	0.0347699464054302
