Gene1	Gene2	EdgeWeight
g5	g4	14.584229442647901
g5	g2	13.6046565722871
g3	g6	3.94510572560842
g5	g3	3.3629589783351403
g4	g3	2.273807601539
g5	g6	2.2126939692744396
g1	g6	2.00037698570946
g2	g3	1.5393227589115501
g4	g4	1.0
g4	g2	0.8767122303828171
g5	g5	0.784122091159859
g3	g3	0.7741327972260241
g1	g3	0.770596518136658
g6	g1	0.6524389000210721
g1	g5	0.5353167766107689
g4	g6	0.527201890080882
g4	g5	0.455473990625038
g2	g5	0.38885646119442896
g1	g1	0.29715029418138
g2	g1	0.28343067875711897
g5	g1	0.27232981357917396
g4	g1	0.192155009462436
g3	g1	0.17993281551427498
g2	g4	0.0
g2	g6	0.0
g6	g5	0.0
g3	g5	0.0
g6	g4	0.0
g3	g4	0.0
g6	g3	0.0
g1	g4	0.0
g6	g2	0.0
g3	g2	0.0
g2	g2	0.0
g1	g2	0.0
g6	g6	0.0
