Gene1	Gene2	EdgeWeight
x_g6	x_g5	1.5
x_g1	x_g4	0.375
x_g3	x_g5	0.24
x_g6	x_g4	0.09375
x_g6	x_g1	0.07407000000000001
x_g3	x_g6	0.06
x_g4	x_g5	0.04958
x_g2	x_g4	0.04166
x_g1	x_g5	0.0355
x_g5	x_g2	0.026660000000000003
x_g4	x_g3	0.02343
x_g5	x_g1	0.02076
x_g3	x_g1	0.01851
x_g5	x_g4	0.01662
x_g2	x_g3	0.015
x_g5	x_g6	0.0136
x_g3	x_g2	0.01239
x_g4	x_g6	0.011340000000000001
x_g3	x_g4	0.010409999999999999
x_g4	x_g1	0.0096
x_g1	x_g6	0.008870000000000001
x_g4	x_g2	0.00823
x_g6	x_g2	0.00765
x_g2	x_g1	0.006659999999999999
x_g5	x_g3	0.00624
