Gene1	Gene2	EdgeWeight
g3	g4	0.1105864246622961
g4	g5	0.1096121422822686
g5	g1	-0.1068434835792936
g1	g2	-0.1019075922142345
g1	g6	0.1017335029581616
g2	g3	-0.1015312071481373
g2	g6	-0.0365619090072823
g6	g2	-0.023910901117365
g6	g3	0.0205405843952762
g3	g6	-0.0200556431234258
g5	g3	-0.016741858016139
g6	g5	0.0151027432939257
g1	g5	-0.0132609332514153
g6	g4	0.0125252201271121
g6	g1	0.0123508506238135
g3	g1	-0.0105182861929543
g5	g2	0.0093864838748169
g4	g2	0.0075642578032381
g4	g3	0.0068799726716682
g5	g6	-0.0050589708918288
g1	g3	-0.0049455967986551
g2	g5	-0.0042333180476519
g2	g1	0.0037407772542191
g4	g6	0.0028666299346743
g3	g5	0.00232047534889
g3	g2	0.0022165623440155
g2	g4	0.0020018005887642
g1	g4	0.0013566648260884
g5	g4	-0.0008585612591402
g4	g1	-0.0003334616493751
g6	g6	0.0
g2	g2	0.0
g3	g3	0.0
g4	g4	0.0
g5	g5	0.0
g1	g1	0.0
