TF	target	importance
x_g4	x_g8	0.6346029374369624
x_g8	x_g4	0.45566206639962403
x_g6	x_g7	0.38067158006302954
x_g7	x_g6	0.36973432455702204
x_g2	x_g1	0.2962652333071131
x_g1	x_g2	0.28194797999780485
x_g8	x_g3	0.26999189875900065
x_g7	x_g1	0.22275360792063653
x_g1	x_g7	0.20378367429901426
x_g8	x_g5	0.19250751819843795
x_g2	x_g3	0.19119882084939377
x_g1	x_g5	0.18768912193492115
x_g6	x_g5	0.1747599479147034
x_g7	x_g2	0.16290322790740322
x_g7	x_g5	0.1498569640165277
x_g8	x_g2	0.14963782646200413
x_g1	x_g6	0.14948778395474457
x_g5	x_g6	0.1486249371460441
x_g3	x_g2	0.1476143296244956
x_g1	x_g3	0.14501371443854233
x_g5	x_g1	0.12488847843855842
x_g2	x_g7	0.12268643786315886
x_g7	x_g3	0.1173537054718701
x_g5	x_g7	0.11597056477319559
x_g4	x_g5	0.11513960799782645
x_g6	x_g1	0.11419626539404529
x_g6	x_g3	0.11224191097801536
x_g6	x_g2	0.1109857404036262
x_g5	x_g4	0.11058626911379331
x_g2	x_g5	0.10551430502504106
x_g8	x_g6	0.10266996044949464
x_g1	x_g4	0.10015959594343697
x_g6	x_g4	0.09929055461615312
x_g8	x_g1	0.09220027494608266
x_g4	x_g6	0.09012830182167247
x_g2	x_g6	0.08891508720255471
x_g3	x_g1	0.0870500455854154
x_g5	x_g2	0.08479789558360716
x_g4	x_g3	0.08433845311851312
x_g3	x_g8	0.08336053874177313
x_g2	x_g4	0.08315436773058343
x_g7	x_g4	0.08072206367107333
x_g5	x_g3	0.07986149638466479
x_g3	x_g5	0.07453253491254223
x_g3	x_g4	0.07042508252533582
x_g8	x_g7	0.06747454378980348
x_g1	x_g8	0.06466967814534755
x_g5	x_g8	0.06336204410630406
x_g4	x_g1	0.06264609440814857
x_g4	x_g2	0.06211300002105881
x_g4	x_g7	0.057741586633101326
x_g2	x_g8	0.05750494760087575
x_g7	x_g8	0.051990200522113186
x_g3	x_g7	0.05167161257869704
x_g3	x_g6	0.05043960486846742
x_g6	x_g8	0.04450965344662406
