Gene1	Gene2	EdgeWeight
x_g3	x_g3	63
x_g1	x_g4	62
x_g2	x_g2	61
x_g3	x_g8	60
x_g4	x_g7	59
x_g4	x_g2	58
x_g7	x_g1	57
x_g8	x_g2	56
x_g8	x_g8	55
x_g1	x_g3	54
x_g5	x_g8	53
x_g5	x_g4	52
x_g2	x_g4	51
x_g1	x_g5	50
x_g6	x_g4	49
x_g6	x_g5	48
x_g6	x_g2	47
x_g3	x_g4	46
x_g6	x_g8	45
x_g2	x_g8	44
x_g1	x_g8	43
x_g7	x_g7	42
x_g1	x_g1	41
x_g7	x_g8	40
x_g5	x_g7	39
x_g4	x_g4	38
x_g4	x_g8	37
x_g3	x_g5	36
x_g8	x_g4	35
x_g5	x_g1	34
x_g7	x_g4	33
x_g3	x_g1	32
x_g1	x_g2	31
x_g5	x_g2	30
x_g2	x_g3	29
x_g8	x_g5	28
x_g4	x_g3	27
x_g6	x_g3	26
x_g2	x_g5	25
x_g7	x_g2	24
x_g6	x_g1	23
x_g8	x_g6	22
x_g2	x_g1	21
x_g5	x_g3	20
x_g5	x_g5	19
x_g7	x_g5	18
x_g8	x_g3	17
x_g8	x_g1	16
x_g7	x_g3	15
x_g4	x_g5	14
x_g3	x_g2	13
x_g4	x_g1	12
x_g2	x_g6	11
x_g8	x_g7	10
x_g3	x_g7	9
x_g6	x_g6	8
x_g4	x_g6	7
x_g3	x_g6	6
x_g2	x_g7	5
x_g7	x_g6	4
x_g6	x_g7	3
x_g1	x_g6	2
x_g1	x_g7	1
x_g5	x_g6	0
