Gene1	Gene2	EdgeWeight
g3	g3	63
g3	g7	63
g4	g8	63
g8	g1	63
g5	g5	62
g3	g5	62
g4	g1	62
g1	g4	62
g1	g8	61
g3	g1	61
g4	g5	61
g2	g2	61
g3	g8	60
g3	g6	60
g8	g2	60
g4	g4	59
g1	g7	59
g8	g7	59
g4	g7	59
g5	g1	58
g4	g2	58
g6	g1	58
g2	g4	57
g7	g1	57
g5	g6	57
g1	g1	56
g3	g4	56
g8	g8	55
g7	g4	55
g6	g7	55
g8	g6	55
g2	g6	54
g8	g5	54
g1	g3	54
g6	g4	54
g6	g8	53
g1	g5	53
g5	g8	53
g8	g3	52
g5	g4	52
g2	g1	51
g7	g8	51
g8	g4	50
g2	g7	49
g6	g5	48
g6	g2	47
g2	g8	46
g6	g6	45
g1	g6	44
g5	g3	44
g5	g2	44
g2	g5	43
g6	g3	42
g7	g7	42
g5	g7	41
g7	g5	38
g1	g2	37
g7	g2	36
g7	g6	33
g2	g3	29
g4	g3	27
g7	g3	25
g4	g6	22
g3	g2	13
