TF	target	importance
x_g4	x_g8	594.8375083768458
x_g8	x_g4	332.06699880832616
x_g2	x_g1	234.23037424575205
x_g6	x_g5	229.303832942133
x_g6	x_g7	213.74858184852815
x_g7	x_g6	202.82552872010814
x_g8	x_g3	199.15527084549188
x_g1	x_g5	186.0657939071782
x_g7	x_g5	173.8746003229962
x_g8	x_g5	168.808114909682
x_g7	x_g1	163.1904642290003
x_g1	x_g2	144.91373700569824
x_g1	x_g7	144.00598628037912
x_g2	x_g3	132.69628128741454
x_g1	x_g6	94.61042815585479
x_g5	x_g6	93.08690682369686
x_g1	x_g3	92.74555762983606
x_g6	x_g1	91.57219822838829
x_g4	x_g5	85.15970623948643
x_g7	x_g2	83.80302650472082
x_g5	x_g1	83.38035500576979
x_g6	x_g3	82.44293407744887
x_g7	x_g3	81.87114743424696
x_g2	x_g5	79.79872699482634
x_g2	x_g7	79.44538054625005
x_g5	x_g7	77.31227784282373
x_g3	x_g2	72.92222646957617
x_g6	x_g4	67.54906966126343
x_g8	x_g2	66.75998832832278
x_g6	x_g2	64.63917772922747
x_g2	x_g6	60.7220784671792
x_g3	x_g8	53.05920482586863
x_g8	x_g6	51.21093310705248
x_g3	x_g1	48.55525031232714
x_g1	x_g4	48.24191048106525
x_g3	x_g5	47.98922468369785
x_g4	x_g3	47.3857138328299
x_g5	x_g4	45.253800078188085
x_g4	x_g6	44.73037357850733
x_g5	x_g3	43.70309489273174
x_g7	x_g4	40.473602293233114
x_g5	x_g2	40.33926067439315
x_g5	x_g8	39.17711468496622
x_g8	x_g1	38.047247116483774
x_g2	x_g4	35.98876365309521
x_g1	x_g8	35.572146081980506
x_g7	x_g8	32.57232852303077
x_g4	x_g7	28.537647253458793
x_g4	x_g1	28.02411086227876
x_g8	x_g7	27.923575419982978
x_g2	x_g8	25.34959388705791
x_g3	x_g7	25.026550808577152
x_g3	x_g4	24.425855024828735
x_g3	x_g6	21.813751147601145
x_g4	x_g2	21.62258328806138
x_g6	x_g8	21.432103620250167
