Gene1	Gene2	EdgeWeight
x_g4	x_g8	532.9376084216049
x_g8	x_g4	352.63425206295267
x_g7	x_g6	283.5482387304966
x_g2	x_g1	250.68169148828613
x_g6	x_g7	225.98055717276318
x_g8	x_g3	196.67705890529405
x_g6	x_g5	187.33738779215668
x_g7	x_g1	178.52394962858563
x_g1	x_g2	148.64100079231986
x_g7	x_g5	148.14959020943257
x_g1	x_g5	142.80461083543992
x_g8	x_g5	136.81467382056246
x_g2	x_g3	130.25143235871917
x_g1	x_g7	121.43941831987681
x_g1	x_g6	117.06145143880137
x_g6	x_g1	109.63363798079546
x_g5	x_g6	106.40381298133828
x_g2	x_g7	104.98148546010277
x_g1	x_g3	96.664423008447
x_g5	x_g1	95.54819592105444
x_g3	x_g2	88.17114337304666
x_g6	x_g3	84.90367046394326
x_g5	x_g7	79.00943552642771
x_g7	x_g3	77.81271048555853
x_g6	x_g2	75.79934572905296
x_g7	x_g2	71.08840179683051
x_g2	x_g5	69.98845945194087
x_g2	x_g6	64.6724492800541
x_g8	x_g2	64.20760317288101
x_g4	x_g5	62.45299845320049
x_g6	x_g4	61.955394241771785
x_g8	x_g6	60.57709401705346
x_g4	x_g6	59.064724488357975
x_g8	x_g1	52.14536262003574
x_g3	x_g1	50.101059737635104
x_g3	x_g8	47.85865530279269
x_g5	x_g8	47.816786055320215
x_g5	x_g4	46.13994160937104
x_g5	x_g3	45.56867645458064
x_g4	x_g3	43.12202832345733
x_g7	x_g4	42.46857562980063
x_g1	x_g4	41.180754600956476
x_g5	x_g2	39.356525112806246
x_g3	x_g5	36.45227943726697
x_g1	x_g8	33.8299111987458
x_g2	x_g4	32.978562630602305
x_g4	x_g1	32.36610262360749
x_g8	x_g7	31.582545338646053
x_g3	x_g6	28.672229063898158
x_g2	x_g8	27.73288407083097
x_g3	x_g7	27.01359438373045
x_g7	x_g8	24.06921958772029
x_g4	x_g7	22.992963798453022
x_g6	x_g8	22.75493536298533
x_g4	x_g2	22.73598002306277
x_g3	x_g4	22.64251922454507
