Parent	Type	Child	Weight	Probability	Score
x_g2	+	x_g2	0.460969	1.000000	0.628239
x_g3	+	x_g2	0.082784	0.177546	0.020032
x_g4	-	x_g2	-0.109343	0.248768	-0.037071
x_g1	+	x_g2	0.409666	1.000000	0.558320
x_g5	-	x_g2	-0.097710	0.185879	-0.024753
x_g6	-	x_g2	-0.160816	0.702816	-0.154036
x_g7	-	x_g2	-0.159883	0.681292	-0.148453
x_g8	-	x_g2	-0.137513	0.310105	-0.058118
x_g2	-	x_g3	-0.097566	0.095898	-0.012751
x_g3	+	x_g3	0.733747	1.000000	1.000000
x_g4	-	x_g3	-0.165930	0.168332	-0.038067
x_g1	-	x_g3	-0.029576	0.053514	-0.002157
x_g5	-	x_g3	-0.171032	0.184891	-0.043097
x_g6	-	x_g3	-0.111631	0.102326	-0.015568
x_g7	-	x_g3	-0.074568	0.059169	-0.006013
x_g8	-	x_g3	-0.175629	0.182358	-0.043649
x_g2	-	x_g4	-0.041139	0.063042	-0.003535
x_g3	-	x_g4	-0.127997	0.200833	-0.035034
x_g4	+	x_g4	0.112268	0.113394	0.017350
x_g1	-	x_g4	-0.063451	0.099098	-0.008570
x_g5	+	x_g4	0.166447	0.272727	0.061867
x_g6	+	x_g4	0.130494	0.192962	0.034317
x_g7	+	x_g4	0.163565	0.322356	0.071859
x_g8	-	x_g4	-0.182448	0.264037	-0.065653
x_g2	+	x_g1	0.235910	1.000000	0.321514
x_g3	+	x_g1	0.113187	0.999991	0.154258
x_g4	+	x_g1	0.025210	0.043514	0.001495
x_g1	+	x_g1	0.506480	1.000000	0.690265
x_g5	-	x_g1	-0.016124	0.026437	-0.000581
x_g6	-	x_g1	-0.027329	0.080803	-0.003010
x_g7	-	x_g1	-0.027038	0.080062	-0.002950
x_g8	+	x_g1	0.372817	1.000000	0.508101
x_g2	-	x_g5	-0.213623	0.804004	-0.234078
x_g3	-	x_g5	-0.101869	0.155079	-0.021530
x_g4	+	x_g5	0.109583	0.133952	0.020005
x_g1	-	x_g5	-0.218935	0.917776	-0.273845
x_g5	+	x_g5	0.212892	0.705975	0.204834
x_g6	+	x_g5	0.066351	0.078986	0.007143
x_g7	+	x_g5	0.176602	0.453212	0.109081
x_g8	-	x_g5	-0.129891	0.190798	-0.033776
x_g2	-	x_g6	-0.265735	0.990815	-0.358835
x_g3	-	x_g6	-0.152785	0.607274	-0.126450
x_g4	+	x_g6	0.064317	0.052897	0.004637
x_g1	-	x_g6	-0.503897	1.000000	-0.686745
x_g5	+	x_g6	0.230620	0.928216	0.291743
x_g6	+	x_g6	0.092991	0.133240	0.016886
x_g7	+	x_g6	0.062743	0.080130	0.006852
x_g8	-	x_g6	-0.012779	0.084601	-0.001473
x_g2	-	x_g7	-0.333554	0.999994	-0.454587
x_g3	-	x_g7	-0.124865	0.337230	-0.057388
x_g4	+	x_g7	0.070149	0.068902	0.006587
x_g1	-	x_g7	-0.460689	1.000000	-0.627859
x_g5	+	x_g7	0.197873	0.774111	0.208758
x_g6	-	x_g7	-0.006652	0.034905	-0.000316
x_g7	+	x_g7	0.053797	0.071166	0.005218
x_g8	-	x_g7	-0.228490	0.599077	-0.186553
x_g2	-	x_g8	-0.056224	0.183241	-0.014041
x_g3	-	x_g8	-0.028488	0.057294	-0.002224
x_g4	+	x_g8	0.047966	0.116291	0.007602
x_g1	+	x_g8	0.235608	1.000000	0.321102
x_g5	+	x_g8	0.080097	0.373530	0.040775
x_g6	-	x_g8	-0.006822	0.034594	-0.000322
x_g7	+	x_g8	0.047246	0.128600	0.008281
x_g8	+	x_g8	0.319676	1.000000	0.435676
