Gene1	Gene2	EdgeWeight
x_g2	x_g2	1.0
x_g8	x_g8	1.0
x_g1	x_g2	1.0
x_g3	x_g3	1.0
x_g2	x_g1	1.0
x_g1	x_g1	1.0
x_g3	x_g2	1.0
x_g1	x_g6	1.0
x_g1	x_g7	1.0
x_g1	x_g8	1.0
x_g5	x_g5	1.0
x_g6	x_g8	1.0
x_g8	x_g5	1.0
x_g5	x_g6	1.0
x_g5	x_g7	1.0
x_g5	x_g8	1.0
x_g8	x_g8	1.0
x_g4	x_g4	1.0
x_g4	x_g6	1.0
x_g4	x_g7	1.0
x_g2	x_g2	1.0
x_g8	x_g1	1.0
x_g8	x_g8	1.0
x_g3	x_g3	1.0
x_g6	x_g5	1.0
x_g6	x_g6	1.0
x_g1	x_g1	1.0
x_g8	x_g6	1.0
x_g7	x_g6	1.0
x_g6	x_g7	1.0
x_g7	x_g7	1.0
x_g2	x_g3	1.0
x_g6	x_g2	1.0
x_g6	x_g1	1.0
x_g8	x_g3	0.9999979999999999
x_g2	x_g7	0.999994
x_g3	x_g1	0.999991
x_g5	x_g1	0.999975
x_g1	x_g3	0.999969
x_g6	x_g4	0.9999620000000001
x_g7	x_g3	0.999899
x_g2	x_g8	0.9998870000000001
x_g8	x_g2	0.999707
x_g2	x_g5	0.999503
x_g4	x_g8	0.998558
x_g8	x_g4	0.99318
x_g3	x_g4	0.9927450000000001
x_g5	x_g4	0.991944
x_g2	x_g6	0.990815
x_g1	x_g4	0.952965
x_g7	x_g1	0.9395389999999999
x_g1	x_g5	0.917776
x_g8	x_g7	0.8727280000000001
x_g3	x_g7	0.838183
x_g7	x_g5	0.832116
x_g2	x_g4	0.762868
x_g4	x_g2	0.75349
x_g5	x_g2	0.743859
x_g7	x_g8	0.710817
x_g7	x_g2	0.681292
x_g3	x_g6	0.607274
x_g4	x_g3	0.603626
x_g6	x_g3	0.5763520000000001
x_g4	x_g1	0.49858199999999997
x_g7	x_g4	0.322356
x_g4	x_g5	0.263293
x_g5	x_g3	0.24009699999999998
x_g3	x_g5	0.216919
x_g3	x_g8	0.13955399999999998
