Gene1	Gene2	Score
x_g8	x_g3	-0.54686173312813
x_g3	x_g8	-0.54686173312813
x_g8	x_g2	-0.474883698572705
x_g2	x_g8	-0.474883698572705
x_g8	x_g5	-0.404656789607019
x_g5	x_g8	-0.404656789607019
x_g3	x_g2	0.387408979458252
x_g2	x_g3	0.387408979458252
x_g1	x_g2	0.323297955744948
x_g2	x_g1	0.323297955744948
x_g8	x_g1	-0.317473650813429
x_g1	x_g8	-0.317473650813429
x_g6	x_g5	-0.273210816173121
x_g8	x_g6	0.267589128210131
x_g4	x_g6	0.25668942227373
x_g6	x_g8	0.25425347378611
x_g5	x_g6	-0.239354801627401
x_g1	x_g3	-0.237793971349074
x_g5	x_g2	-0.234548434998687
x_g2	x_g5	-0.234548434998687
x_g4	x_g5	-0.229937155902402
x_g4	x_g8	0.228470134746942
x_g8	x_g7	0.223470113114281
x_g1	x_g5	0.223018000197067
x_g5	x_g1	-0.221758631660283
x_g6	x_g3	0.215319359216506
x_g7	x_g8	0.211896984494251
x_g5	x_g4	-0.211247952012452
x_g5	x_g7	-0.210384236490122
x_g4	x_g1	0.208420819545815
x_g7	x_g1	-0.207781563641305
x_g3	x_g5	0.207056195920571
x_g4	x_g7	0.203897453827812
x_g7	x_g6	0.202520659335515
x_g4	x_g2	-0.202386095859897
x_g3	x_g6	0.200469729483813
x_g1	x_g6	0.19808292350877
x_g6	x_g1	0.196656696957147
x_g1	x_g4	0.192254772276258
x_g7	x_g5	0.190521032212269
x_g6	x_g2	-0.19040428797493
x_g8	x_g4	0.186911444435757
x_g3	x_g1	0.185446590649953
x_g7	x_g2	-0.180927905198767
x_g6	x_g4	0.174365824728915
x_g4	x_g3	0.171662257197481
x_g6	x_g7	0.169064533787854
x_g7	x_g4	0.167804807090389
x_g2	x_g6	0.165959176875081
x_g5	x_g3	-0.164829205854194
x_g1	x_g7	0.163251812661486
x_g3	x_g7	0.159924369219837
x_g3	x_g4	0.14781305172067
x_g2	x_g4	0.1426712780927
x_g7	x_g3	-0.135945863523795
x_g2	x_g7	0.13593716698131
