Gene1	Gene2	EdgeWeight
g7	g1	0.7156655204790109
g1	g7	0.7156655204790109
g3	g2	0.6972300138987879
g2	g3	0.6972300138987879
g7	g2	0.696772532987389
g8	g2	0.6954888278725571
g4	g8	0.687159093468057
g8	g4	0.6836474470175339
g2	g8	0.652455570834102
g1	g4	0.640563428557235
g4	g1	0.640563428557235
g3	g8	0.63795453904221
g4	g2	0.634669946552643
g2	g4	0.634669946552643
g7	g3	0.6283375863843841
g8	g3	0.615627832578768
g4	g3	0.599945220840415
g3	g4	0.599945220840415
g2	g7	0.594985802384599
g1	g2	0.5625179774842091
g7	g8	0.553393927122316
g1	g8	0.5265387490971339
g1	g3	0.525380016748735
g8	g1	0.5213702056160039
g6	g8	0.49096763546795397
g8	g6	0.49022867017946603
g3	g1	0.489777658070752
g2	g1	0.461991222278113
g2	g6	0.4456032864065
g3	g7	0.427571721206508
g4	g6	0.419923716027464
g7	g6	0.418424462623609
g6	g7	0.417719034245396
g3	g6	0.41186460851738793
g5	g8	0.40465678960701895
g8	g5	0.40465678960701895
g8	g7	0.39875724717656397
g6	g2	0.39721680197044107
g4	g7	0.381987275363164
g6	g3	0.374181003849205
g3	g5	0.36903751924031303
g6	g1	0.35700920806842895
g1	g6	0.356304444000424
g2	g5	0.35182033474744
g7	g4	0.348829262467091
g6	g4	0.33235667805873603
g5	g3	0.32683434398140004
g1	g5	0.32145668660896903
g4	g5	0.315003106010959
g5	g4	0.31130613032288695
g5	g6	0.30904421743292604
g5	g2	0.30429061932659196
g7	g5	0.30328834403671
g5	g7	0.283398870233496
g6	g5	0.273210816173121
g5	g1	0.227495599542215
