Gene1	Gene2	corVal	pValue
x_g2	x_g2	1	0
x_g3	x_g3	1	0
x_g4	x_g4	1	0
x_g1	x_g1	1	0
x_g5	x_g5	1	0
x_g6	x_g6	1	0
x_g7	x_g7	1	0
x_g8	x_g8	1	0
x_g1	x_g2	0.446595270284273	2.38673740492774e-98
x_g2	x_g1	0.446595270284273	2.38673740492808e-98
x_g6	x_g7	0.383079428826783	1.04655776943979e-70
x_g7	x_g6	0.383079428826783	1.04655776943988e-70
x_g2	x_g3	0.230940683144187	1.50360037052878e-25
x_g3	x_g2	0.230940683144187	1.50360037052881e-25
x_g8	x_g5	0.13895588492041	4.62494756369699e-10
x_g5	x_g8	0.13895588492041	4.62494756369699e-10
x_g8	x_g1	-9.56415501795693e-06	0.999659453189457
x_g1	x_g8	-9.56415501804595e-06	0.999659453189454
x_g8	x_g7	-0.00737612122418472	0.742024981297041
x_g7	x_g8	-0.00737612122418475	0.74202498129704
x_g3	x_g5	-0.0283393753338294	0.205895197075407
x_g5	x_g3	-0.0283393753338294	0.205895197075407
x_g4	x_g1	-0.0443818080351249	0.0475274994122334
x_g1	x_g4	-0.0443818080351249	0.0475274994122334
x_g5	x_g4	-0.0787690992280277	0.000430508618605818
x_g4	x_g5	-0.0787690992280278	0.000430508618605814
x_g7	x_g4	-0.0923753679612816	3.60875113273469e-05
x_g4	x_g7	-0.0923753679612816	3.60875113273466e-05
x_g6	x_g3	-0.0989353237492836	9.60088687447491e-06
x_g3	x_g6	-0.0989353237492837	9.60088687447476e-06
x_g4	x_g3	-0.139703089759492	3.72423498902481e-10
x_g3	x_g4	-0.139703089759492	3.72423498902481e-10
x_g6	x_g1	-0.14462684139953	8.68162448210657e-11
x_g1	x_g6	-0.14462684139953	8.68162448210621e-11
x_g5	x_g2	-0.168003490825293	4.31623316104264e-14
x_g2	x_g5	-0.168003490825293	4.31623316104261e-14
x_g3	x_g7	-0.174132958446541	4.84795008981056e-15
x_g7	x_g3	-0.174132958446541	4.84795008981045e-15
x_g7	x_g2	-0.177515067243574	1.4015149842159e-15
x_g2	x_g7	-0.177515067243574	1.40151498421579e-15
x_g6	x_g8	-0.191154979579556	7.30370538536679e-18
x_g8	x_g6	-0.191154979579556	7.30370538536669e-18
x_g2	x_g6	-0.194217596891023	2.12130675298238e-18
x_g6	x_g2	-0.194217596891023	2.12130675298231e-18
x_g2	x_g4	-0.22026931893006	2.46507335122265e-23
x_g4	x_g2	-0.22026931893006	2.46507335122265e-23
x_g2	x_g8	-0.224976007386302	2.68577787894012e-24
x_g8	x_g2	-0.224976007386303	2.68577787894005e-24
x_g6	x_g4	-0.243334015208068	2.88869757713686e-28
x_g4	x_g6	-0.243334015208068	2.8886975771368e-28
x_g5	x_g1	-0.249316279303855	1.23920568355478e-29
x_g1	x_g5	-0.249316279303855	1.23920568355473e-29
x_g8	x_g4	-0.258553340531113	8.0990724365155e-32
x_g4	x_g8	-0.258553340531113	8.0990724365155e-32
x_g5	x_g6	-0.265061491845916	2.06655664180548e-33
x_g6	x_g5	-0.265061491845916	2.06655664180536e-33
x_g1	x_g3	-0.27132404517199	5.4902326577697e-35
x_g3	x_g1	-0.27132404517199	5.49023265776946e-35
x_g7	x_g5	-0.272958933155304	2.09566282481141e-35
x_g5	x_g7	-0.272958933155304	2.09566282481141e-35
x_g7	x_g1	-0.273519955282827	1.50357470887284e-35
x_g1	x_g7	-0.273519955282827	1.50357470887284e-35
x_g8	x_g3	-0.428475440949339	7.57524156150026e-90
x_g3	x_g8	-0.428475440949339	7.57524156149875e-90
