Gene1	Gene2	EdgeWeight
x_g2	x_g2	1.0
x_g3	x_g3	1.0
x_g4	x_g4	1.0
x_g1	x_g1	1.0
x_g5	x_g5	1.0
x_g6	x_g6	1.0
x_g7	x_g7	1.0
x_g8	x_g8	1.0
x_g1	x_g2	0.4465952702842729
x_g2	x_g1	0.4465952702842729
x_g8	x_g3	-0.428475440949339
x_g3	x_g8	-0.428475440949339
x_g7	x_g6	0.3830794288267829
x_g6	x_g7	0.3830794288267829
x_g1	x_g7	-0.27351995528282697
x_g7	x_g1	-0.27351995528282697
x_g5	x_g7	-0.27295893315530395
x_g7	x_g5	-0.27295893315530395
x_g3	x_g1	-0.27132404517199
x_g1	x_g3	-0.27132404517199
x_g6	x_g5	-0.26506149184591604
x_g5	x_g6	-0.26506149184591604
x_g4	x_g8	-0.258553340531113
x_g8	x_g4	-0.258553340531113
x_g1	x_g5	-0.249316279303855
x_g5	x_g1	-0.249316279303855
x_g6	x_g4	-0.243334015208068
x_g4	x_g6	-0.243334015208068
x_g2	x_g3	0.230940683144187
x_g3	x_g2	0.230940683144187
x_g8	x_g2	-0.22497600738630302
x_g2	x_g8	-0.22497600738630202
x_g4	x_g2	-0.22026931893006
x_g2	x_g4	-0.22026931893006
x_g6	x_g2	-0.194217596891023
x_g2	x_g6	-0.194217596891023
x_g8	x_g6	-0.19115497957955602
x_g6	x_g8	-0.19115497957955602
x_g2	x_g7	-0.17751506724357397
x_g7	x_g2	-0.17751506724357397
x_g3	x_g7	-0.17413295844654098
x_g7	x_g3	-0.17413295844654098
x_g2	x_g5	-0.16800349082529298
x_g5	x_g2	-0.16800349082529298
x_g1	x_g6	-0.14462684139953
x_g6	x_g1	-0.14462684139953
x_g3	x_g4	-0.139703089759492
x_g4	x_g3	-0.139703089759492
x_g5	x_g8	0.13895588492041
x_g8	x_g5	0.13895588492041
x_g3	x_g6	-0.0989353237492837
x_g6	x_g3	-0.0989353237492836
x_g4	x_g7	-0.0923753679612816
x_g7	x_g4	-0.0923753679612816
x_g4	x_g5	-0.0787690992280278
x_g5	x_g4	-0.0787690992280277
x_g8	x_g1	0
x_g1	x_g8	0
x_g8	x_g7	0
x_g7	x_g8	0
x_g3	x_g5	0
x_g5	x_g3	0
x_g4	x_g1	0
x_g1	x_g4	0
