Gene1	Gene2	EdgeWeight
g2	g8	16.9341720853105
g3	g8	15.6890421984796
g2	g6	13.4684727094998
g2	g5	8.51876392848063
g5	g5	8.30851528432442
g3	g1	8.107494739468711
g3	g5	7.89099206204542
g3	g4	7.87292327947632
g7	g8	7.27408830430697
g1	g6	7.1779720791953805
g3	g6	7.1651743604113305
g6	g6	6.99900102432201
g7	g7	6.897888047308309
g2	g2	6.680614614976231
g4	g4	6.3017295397852005
g2	g4	6.141210343520959
g2	g7	6.0946176797832505
g7	g3	5.10577396656111
g5	g6	4.65968432446565
g1	g1	4.6334416814276205
g7	g1	4.51962834596414
g8	g6	4.05881782013657
g5	g8	3.9622727536333198
g1	g8	3.74101328802891
g1	g3	3.3394692892851503
g7	g4	3.3190676192133903
g1	g5	2.59082265607865
g8	g5	2.47622168503877
g2	g3	2.46550275847676
g2	g1	2.44676475573369
g5	g7	2.4001743721693103
g6	g8	2.31555741808186
g8	g4	2.10120488748515
g6	g5	2.03100460253726
g1	g2	1.98392397863969
g5	g4	1.95362739611253
g1	g7	1.9496931317641801
g4	g7	1.82572495713518
g7	g2	1.7751758004397402
g4	g8	1.7673721780046499
g3	g7	1.64901587362659
g3	g3	1.4977836217877298
g7	g6	1.4847853700415803
g8	g1	1.42295910981478
g4	g6	1.19241967913826
g3	g2	1.11953636318963
g4	g1	1.06742138680226
g8	g7	0.9972921239852759
g8	g8	0.9961460803558341
g6	g1	0.99015475409923
g7	g5	0.9423603330720509
g6	g3	0.894537252154197
g5	g1	0.770733442984251
g4	g5	0.597848438654145
g5	g2	0.477161649073751
g4	g3	0.34118570982197804
g8	g2	0.30753735207878496
g8	g3	0.272186400352103
g6	g4	0.22881561758873897
g6	g7	0.16775410134076502
g4	g2	0.133947129282664
g5	g3	0.12203286032321199
g6	g2	0.113203090175849
g1	g4	0.10337421544435302
