Gene1	Gene2	EdgeWeight
x_g2	x_g8	33.8070632839599
x_g2	x_g1	28.187017942252396
x_g3	x_g1	27.1796348728006
x_g3	x_g8	24.550768344745396
x_g5	x_g8	19.3642222350941
x_g2	x_g2	18.4531795939818
x_g2	x_g4	18.2763072896532
x_g2	x_g6	17.548296840421198
x_g3	x_g4	17.0202904146409
x_g3	x_g5	16.613087576182494
x_g8	x_g5	16.2018032300088
x_g3	x_g2	15.8647305429949
x_g4	x_g8	13.8351575337413
x_g3	x_g6	13.513170835414698
x_g6	x_g6	12.3844833735717
x_g7	x_g5	12.1817398716901
x_g8	x_g8	12.004721960320802
x_g6	x_g8	11.5964207916315
x_g3	x_g7	11.1257968457577
x_g3	x_g3	11.0933397548906
x_g6	x_g1	11.0279259433844
x_g7	x_g2	10.327469277446001
x_g8	x_g6	10.174407802790999
x_g5	x_g5	10.123527172580301
x_g2	x_g7	9.96068554799216
x_g4	x_g4	9.61130812509274
x_g7	x_g6	9.607898393372107
x_g2	x_g3	9.580380936466767
x_g6	x_g5	9.4222694463
x_g6	x_g7	9.118144880463019
x_g1	x_g5	8.78250567344898
x_g8	x_g3	8.252834164512581
x_g2	x_g5	7.8304301359047805
x_g1	x_g8	7.7680974528997
x_g1	x_g1	7.577476395513768
x_g5	x_g7	7.152895521211409
x_g7	x_g8	6.48080032785556
x_g7	x_g7	6.45380742493338
x_g6	x_g2	6.162012619065219
x_g6	x_g3	6.07520809861221
x_g5	x_g2	6.06475890059707
x_g1	x_g4	5.538335730992
x_g4	x_g2	5.27354933071273
x_g7	x_g3	5.19997489992384
x_g4	x_g1	5.05164649200623
x_g8	x_g7	4.94580810402019
x_g5	x_g4	4.69660493688742
x_g5	x_g6	4.65438110899524
x_g8	x_g1	4.2402775243198905
x_g4	x_g3	3.96667228570211
x_g8	x_g4	3.9474896587310098
x_g1	x_g6	3.52770285262348
x_g1	x_g2	3.4861703991235298
x_g7	x_g1	3.4735495515971406
x_g7	x_g4	3.46605567252042
x_g4	x_g6	3.43283159667519
x_g5	x_g1	3.28710280298586
x_g6	x_g4	2.8264514034636403
x_g5	x_g3	2.55919894154371
x_g8	x_g2	2.53025684728973
x_g1	x_g7	2.31001896605079
x_g4	x_g7	2.27809343305769
x_g1	x_g3	1.71421170261004
x_g4	x_g5	1.4330424230172398
