Gene1	Gene2	EdgeWeight
x_g7	x_g1	0.130124961583457
x_g8	x_g6	0.0941182301644371
x_g7	x_g2	0.0824546503797339
x_g8	x_g3	0.0735637601709231
x_g6	x_g4	0.0733183930200442
x_g2	x_g3	0.0730508368032208
x_g1	x_g7	0.0708776081363042
x_g4	x_g3	0.0702518367219507
x_g3	x_g8	0.0682341905483262
x_g2	x_g7	0.0667121353496025
x_g8	x_g4	0.0657483380937869
x_g8	x_g2	0.0650549156825334
x_g5	x_g4	0.064932860963196
x_g2	x_g8	0.0615707201580973
x_g6	x_g5	0.0584032683486829
x_g3	x_g2	0.057722328089766996
x_g7	x_g8	0.05704471440154701
x_g3	x_g4	0.0563280784805121
x_g8	x_g7	0.0558717319342693
x_g6	x_g3	0.0550600376426368
x_g1	x_g3	0.054679766815952005
x_g3	x_g1	0.0540550622465883
x_g2	x_g1	0.0538690264004827
x_g8	x_g1	0.0538552664568778
x_g2	x_g5	0.0533552693790013
x_g1	x_g4	0.0520517009439713
x_g3	x_g6	0.05203623153496799
x_g6	x_g2	0.051603813265012996
x_g6	x_g8	0.0496458389048912
x_g6	x_g1	0.0496311379266005
x_g1	x_g8	0.0495718622837643
x_g6	x_g7	0.04815477229547401
x_g7	x_g4	0.0480956756636773
x_g4	x_g1	0.0473692245975192
x_g4	x_g7	0.046029461104975994
x_g8	x_g5	0.0443606757218344
x_g1	x_g2	0.043632316489031
x_g4	x_g8	0.0433321980371908
x_g5	x_g8	0.0418008231816835
x_g5	x_g3	0.0415283463668567
x_g5	x_g6	0.0414989251191625
x_g4	x_g2	0.0409969174526213
x_g3	x_g7	0.0394713926079685
x_g2	x_g6	0.0394129899999918
x_g4	x_g5	0.0369216476155552
x_g7	x_g6	0.0366002778676058
x_g7	x_g3	0.0364116903159578
x_g5	x_g1	0.0352855376382441
x_g7	x_g5	0.0347375676415429
x_g5	x_g2	0.0322450760608781
x_g1	x_g6	0.0319980989109808
x_g4	x_g6	0.0311385408811273
x_g5	x_g7	0.0283673978185934
x_g1	x_g5	0.0276449816399392
x_g3	x_g5	0.0257300707178882
x_g2	x_g4	0.0183728076354728
