SourceGENES,TargetGENES,Interaction,Edges
x_g4,x_g6,2.22254042881158,repression
x_g4,x_g2,1.19775160838414,repression
x_g4,x_g4,1,activation
x_g8,x_g5,0.96123417322538,activation
x_g8,x_g6,0.634573006661852,repression
x_g4,x_g1,0.604586198083639,repression
x_g8,x_g1,0.477475156061354,activation
x_g4,x_g3,0.474448239579123,repression
x_g8,x_g2,0.279357653291865,repression
x_g8,x_g7,0.263423452475149,repression
x_g8,x_g8,0.219246591273732,activation
x_g7,x_g5,0.0548291374887955,activation
x_g7,x_g8,0.0386274827777407,repression
x_g7,x_g7,0.0192086778461079,activation
x_g3,x_g6,3.47526151945005e-34,repression
x_g2,x_g6,2.88666564791191e-34,repression
x_g1,x_g6,2.12918144177466e-34,repression
x_g5,x_g7,1.73131655839246e-34,activation
x_g3,x_g4,1.67132645997467e-34,repression
x_g5,x_g6,1.0274082593299e-34,activation
x_g3,x_g1,6.28157610645306e-35,repression
x_g2,x_g1,5.96416779927797e-35,repression
x_g2,x_g5,5.82476743345593e-35,repression
x_g1,x_g7,4.6770292214706e-35,repression
x_g1,x_g2,2.84314717966344e-35,repression
x_g5,x_g5,2.74458490543125e-35,activation
x_g2,x_g3,1.21705388894443e-35,repression
x_g1,x_g5,5.08519181584201e-36,repression
x_g2,x_g8,2.89327496878673e-36,repression
x_g3,x_g2,6.2835225689374e-37,repression
x_g2,x_g2,0,no regulation
x_g2,x_g4,0,no regulation
x_g2,x_g7,0,no regulation
x_g3,x_g3,0,no regulation
x_g3,x_g5,0,no regulation
x_g3,x_g7,0,no regulation
x_g3,x_g8,0,no regulation
x_g4,x_g5,0,no regulation
x_g4,x_g7,0,no regulation
x_g4,x_g8,0,no regulation
x_g1,x_g3,0,no regulation
x_g1,x_g4,0,no regulation
x_g1,x_g1,0,no regulation
x_g1,x_g8,0,no regulation
x_g5,x_g2,0,no regulation
x_g5,x_g3,0,no regulation
x_g5,x_g4,0,no regulation
x_g5,x_g1,0,no regulation
x_g5,x_g8,0,no regulation
x_g6,x_g2,0,no regulation
x_g6,x_g3,0,no regulation
x_g6,x_g4,0,no regulation
x_g6,x_g1,0,no regulation
x_g6,x_g5,0,no regulation
x_g6,x_g6,0,no regulation
x_g6,x_g7,0,no regulation
x_g6,x_g8,0,no regulation
x_g7,x_g2,0,no regulation
x_g7,x_g3,0,no regulation
x_g7,x_g4,0,no regulation
x_g7,x_g1,0,no regulation
x_g7,x_g6,0,no regulation
x_g8,x_g3,0,no regulation
x_g8,x_g4,0,no regulation
