Gene1	Gene2	EdgeWeight
g6	g2	11.632477213107801
g7	g2	11.281121464202599
g8	g2	6.547693464643401
g3	g2	4.18214766138999
g6	g4	2.22254042881158
g7	g5	1.7633604319668301
g8	g4	1.6932508722635902
g1	g2	1.35590834764815
g2	g4	1.1977516083841397
g4	g2	1.16655728426778
g5	g4	1.0
g2	g2	1.0
g4	g4	1.0
g4	g4	1.0
g8	g5	0.967785463494643
g5	g8	0.9612341732253801
g6	g5	0.958228568856802
g8	g1	0.8809152824287321
g5	g5	0.748873242857133
g8	g8	0.742822634440977
g5	g1	0.7100772590340501
g3	g4	0.6420865504363941
g6	g8	0.6345730066618521
g1	g4	0.6045861980836391
g4	g1	0.576881298723359
g1	g5	0.56564773568464
g4	g5	0.5533794000120861
g1	g8	0.533323466998022
g3	g5	0.398534896722389
g1	g1	0.340272686161388
g4	g8	0.307618806295393
g2	g1	0.295060407422813
g2	g8	0.279357653291865
g7	g8	0.263423452475149
g2	g5	0.245048107631852
g7	g1	0.14643922316935598
g7	g4	0.144862704152491
g5	g7	0.0548291374887955
g8	g7	0.0542115322633576
g2	g3	0.0386975905725787
g8	g3	0.0328365122581939
g3	g1	0.0258784558052604
g4	g7	0.0245722794977442
g7	g7	0.0192086778461079
g5	g6	0.0191945142451385
g1	g6	0.0149798092265289
g2	g6	0.014014774656521999
g7	g3	0.0125596396318762
g4	g6	0.0115059034394132
g6	g3	0.0102540410160224
g5	g3	0.00923430400285977
g3	g3	0.009226146203106621
g1	g3	0.00920099966468203
g8	g6	0.00817642534185228
g3	g6	0.00554823213416825
g7	g6	0.00534060387770086
g6	g1	0.00511709591214542
g6	g6	0.00397493815175375
g4	g3	0.00209759557929827
g5	g2	5.82476743345593e-35
g6	g7	1.8827247583762198e-35
g2	g7	4.75883791446233e-36
g3	g8	7.055430685940359e-38
g1	g7	0.0
g3	g7	0.0
g3	g7	0.0
g1	g7	0.0
g3	g7	0.0
g1	g7	0.0
g3	g7	0.0
g1	g7	0.0
