Regulator	Target	SINGE_Score
x_g7	x_g8	6
x_g4	x_g8	1.5
x_g1	x_g8	0.66666
x_g6	x_g8	0.375
x_g6	x_g5	0.24
x_g2	x_g8	0.16666
x_g5	x_g2	0.12244
x_g6	x_g7	0.09375
x_g3	x_g8	0.07407
x_g2	x_g1	0.06
x_g5	x_g3	0.04958
x_g6	x_g3	0.0355
x_g1	x_g5	0.03061
x_g2	x_g5	0.02666
x_g7	x_g5	0.02343
x_g4	x_g5	0.02076
x_g7	x_g1	0.01851
x_g3	x_g5	0.015
x_g8	x_g7	0.0136
x_g5	x_g1	0.01239
x_g6	x_g2	0.01134
x_g2	x_g6	0.0096
x_g4	x_g7	0.00823
x_g7	x_g6	0.00765
x_g4	x_g3	0.00713
x_g3	x_g7	0.00666
x_g1	x_g3	0.00624
x_g5	x_g8	0.00585
x_g1	x_g2	0.0055
x_g1	x_g6	0.00519
x_g8	x_g6	0.00462
x_g6	x_g4	0.00438
x_g6	x_g1	0.00375
x_g7	x_g2	0.00356
x_g7	x_g4	0.0034
x_g3	x_g6	0.00324
x_g1	x_g4	0.00309
x_g5	x_g6	0.00296
x_g8	x_g1	0.00271
x_g5	x_g4	0.0026
x_g8	x_g2	0.00249
x_g5	x_g7	0.0024
x_g3	x_g1	0.0023
x_g4	x_g2	0.00221
x_g3	x_g4	0.00213
x_g7	x_g3	0.00205
x_g8	x_g3	0.00198
x_g2	x_g7	0.00191
