Gene1	Gene2	EdgeWeight
g8	g2	6.0
g1	g5	6.0
g7	g8	6.0
g5	g3	1.5
g4	g8	1.5
g1	g8	0.66666
g8	g4	0.66666
g3	g1	0.66666
g2	g6	0.375
g6	g8	0.375
g2	g3	0.375
g6	g5	0.24
g5	g2	0.24
g1	g4	0.24
g2	g8	0.16666
g7	g3	0.12244000000000001
g6	g7	0.09375
g1	g3	0.09375
g3	g8	0.07407000000000001
g1	g6	0.06
g2	g1	0.06
g6	g3	0.04958
g6	g1	0.04958
g4	g7	0.04166
g6	g4	0.04166
g4	g3	0.0355
g7	g6	0.030610000000000002
g3	g5	0.030610000000000002
g8	g5	0.026660000000000003
g2	g5	0.026660000000000003
g4	g2	0.02343
g7	g5	0.02343
g3	g4	0.02076
g4	g5	0.02076
g3	g6	0.01851
g3	g7	0.01851
g7	g1	0.01851
g4	g6	0.01662
g2	g4	0.015
g2	g4	0.015
g3	g2	0.0136
g8	g7	0.0136
g5	g1	0.01239
g5	g1	0.01239
g7	g2	0.01239
g1	g2	0.011340000000000001
g6	g2	0.011340000000000001
g8	g6	0.00823
g5	g6	0.00713
g1	g7	0.006659999999999999
g5	g8	0.00585
g5	g4	0.00585
g8	g3	0.004379999999999999
g2	g7	0.00394
g5	g7	0.0035600000000000002
g7	g4	0.0034
g8	g1	0.00271
