Gene1	Gene2	Score
g7	g1	-0.715665520479011
g1	g7	-0.715665520479011
g7	g2	-0.696772532987389
g3	g2	0.650596481298308
g2	g3	0.650596481298308
g8	g2	-0.633533013390423
g2	g8	-0.633533013390423
g7	g3	-0.628337586384384
g8	g3	-0.615627832578768
g3	g8	-0.615627832578768
g2	g7	-0.594985802384599
g1	g2	0.562517977484209
g7	g8	0.553393927122316
g1	g3	0.525380016748735
g2	g1	0.461991222278113
g1	g8	-0.459345636768508
g8	g6	-0.441123789055733
g6	g8	-0.441123789055733
g3	g7	-0.427571721206508
g7	g6	0.418424462623609
g6	g7	0.417719034245396
g6	g2	-0.397216801970441
g6	g3	-0.374181003849205
g8	g7	0.361669877197974
g8	g1	-0.361471329755713
g6	g1	-0.357009208068429
g1	g6	-0.332155578185006
g3	g1	0.331828290012015
g2	g6	-0.324658329933884
g5	g3	-0.273149146236227
g3	g5	-0.273149146236227
g3	g6	-0.26750014089842
g2	g4	-0.240412707105727
g8	g5	0.227499987893433
g5	g8	0.227499987893433
g3	g4	-0.213310776917609
g2	g5	-0.208595136233092
g7	g5	0.206717751222536
g4	g2	-0.183934071003162
g8	g4	0.183488943267701
g7	g4	0.183278717966128
g6	g4	0.180327380731809
g1	g4	-0.173935826937542
g1	g5	-0.169890740881013
g4	g3	-0.167433527670877
g5	g7	-0.151891303243671
g4	g8	0.151848558263582
g6	g5	0.149734885402356
g5	g2	-0.149061356246394
g5	g4	0.143565222439943
g4	g6	0.135773422645476
g4	g7	0.1330288341266
g4	g5	0.132639914015667
g5	g6	0.124648173015895
g4	g1	0.123943302710995
g5	g1	-0.11538446501446
