Gene1	Gene2	EdgeWeight
g1	g7	1.7701520042726986
g7	g1	1.7701520042726986
g3	g8	1.659165448164492
g8	g3	1.659165448164492
g6	g8	1.5960057390070788
g8	g6	1.5960057390070788
g2	g7	1.5732571471234602
g7	g2	1.5732571471234602
g3	g6	1.5653696730265194
g6	g3	1.5653696730265194
g2	g3	1.5481237183159775
g3	g2	1.5481237183159775
g3	g7	1.4982858012057707
g7	g3	1.4982858012057707
g2	g1	1.4970470248183756
g1	g2	1.4970470248183756
g2	g8	1.4160324126266526
g8	g2	1.4160324126266526
g6	g7	1.4085530927400365
g7	g6	1.4085530927400365
g7	g8	1.3453374895558197
g8	g7	1.3453374895558197
g2	g6	1.2963703262780772
g6	g2	1.2963703262780772
g4	g7	1.2831318491759949
g7	g4	1.2831318491759949
g3	g5	1.2362055733561643
g5	g3	1.2362055733561643
g1	g6	1.1108745617779014
g6	g1	1.1108745617779014
g5	g6	1.0040355329837332
g6	g5	1.0040355329837332
g1	g8	0.966542870300504
g8	g1	0.966542870300504
g1	g5	0.8929845168286985
g5	g1	0.8929845168286985
g3	g4	0.8042871142001583
g4	g3	0.8042871142001583
g4	g1	0.7397424128653376
g1	g4	0.7397424128653376
g3	g1	0.6694986515589797
g1	g3	0.6694986515589797
g2	g4	0.6299627649967813
g4	g2	0.6299627649967813
g2	g5	0.6033679782101833
g5	g2	0.6033679782101833
g4	g8	0.5854073150412935
g8	g4	0.5854073150412935
g5	g8	0.562836479362549
g8	g5	0.562836479362549
g4	g5	0.37239109865685066
g5	g4	0.37239109865685066
g4	g6	0.05487495166353276
g6	g4	0.05487495166353276
g5	g7	0.037544605780099986
g7	g5	0.037544605780099986
