Gene1	Gene2	corVal	pValue
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g1	g1	1	0
g5	g5	1	0
g6	g6	1	0
g7	g7	1	0
g8	g8	1	0
g8	g4	0.033767828382701	0.33180840811778
g4	g8	0.033767828382701	0.33180840811778
g8	g5	0.0198886612463857	0.567668916982894
g5	g8	0.0198886612463857	0.567668916982894
g5	g4	0.00907306499916833	0.794332889471171
g4	g5	0.00907306499916833	0.794332889471171
g2	g1	-0.0108313847015683	0.755640024931945
g1	g2	-0.0108313847015684	0.755640024931944
g7	g4	-0.0128398014405956	0.712185716145323
g4	g7	-0.0128398014405956	0.712185716145322
g4	g1	-0.0276590734345757	0.426707018797752
g1	g4	-0.0276590734345758	0.426707018797752
g2	g5	-0.0316214240299931	0.363477465558578
g5	g2	-0.0316214240299931	0.363477465558578
g2	g4	-0.0413368458314249	0.234763201500563
g4	g2	-0.0413368458314249	0.234763201500562
g4	g3	-0.0530149818644296	0.127440543402818
g3	g4	-0.0530149818644296	0.127440543402818
g5	g1	-0.0649474054558656	0.0617606632721424
g1	g5	-0.0649474054558656	0.0617606632721424
g6	g4	-0.0704339374638045	0.0427452335111757
g4	g6	-0.0704339374638045	0.0427452335111757
g6	g5	-0.0721001730448093	0.0380563278647897
g5	g6	-0.0721001730448093	0.0380563278647897
g7	g5	-0.101679788976381	0.00340044523428282
g5	g7	-0.101679788976381	0.00340044523428282
g3	g5	-0.122960600533117	0.000390666116659069
g5	g3	-0.122960600533117	0.000390666116659069
g2	g3	-0.146115336175026	2.43450024528668e-05
g3	g2	-0.146115336175026	2.4345002452866e-05
g8	g7	-0.155230170426258	7.21567847862602e-06
g7	g8	-0.155230170426258	7.21567847862596e-06
g8	g1	-0.196429210782633	1.20283996244437e-08
g1	g8	-0.196429210782633	1.20283996244435e-08
g3	g1	-0.240793904016202	2.18796008646409e-12
g1	g3	-0.240793904016202	2.18796008646402e-12
g6	g1	-0.264173343939825	1.09427093973272e-14
g1	g6	-0.264173343939825	1.09427093973269e-14
g7	g6	-0.320896954911918	2.75933701172238e-21
g6	g7	-0.320896954911918	2.75933701172238e-21
g7	g1	-0.356500321318553	3.21817018528841e-26
g1	g7	-0.356500321318553	3.2181701852883e-26
g8	g6	-0.422766737181269	3.14171509366902e-37
g6	g8	-0.422766737181269	3.14171509366902e-37
g6	g2	-0.437355893216465	5.25901040925111e-40
g2	g6	-0.437355893216466	5.2590104092508e-40
g8	g2	-0.43907080052718	2.42980411752287e-40
g2	g8	-0.43907080052718	2.4298041175227e-40
g7	g2	-0.466126973275243	6.81858759750605e-46
g2	g7	-0.466126973275243	6.81858759750546e-46
g7	g3	-0.488567972531458	6.84871385709205e-51
g3	g7	-0.488567972531458	6.84871385709205e-51
g8	g3	-0.518727391819668	3.20388441668577e-58
g3	g8	-0.518727391819668	3.20388441668577e-58
g3	g6	-0.574397467860825	7.41349819968257e-74
g6	g3	-0.574397467860825	7.41349819968257e-74
